scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1462.5,650.0,149.133496148022,0.10196095715984652,0.1860172722817121,0.17884044655418013,,,,,failed,Rotor outlet enthalpy too high. Reduce RPM!
global,1,1612.5,500.0,164.42923934269095,0.11653570306970394,0.18030263208354494,0.1645123390577879,21689.171357586536,5351.113812227555,5069.998201619144,3458.2599737985843,ok,
global,1,1712.5,400.0,174.62640147247023,0.126603477097509,0.17722707466834992,0.15647253132869465,15412.694993817935,3738.065128102507,3427.0534680599035,2670.0471820511093,ok,
global,1,1862.5,250.0,189.92214466713915,0.14221330294994747,0.17348144719822184,0.1461940433633906,11578.73672049283,2749.0492104715977,2405.6038050757015,2253.337328948675,ok,
global,1,1962.5,150.0,200.11930679691844,0.15294871327860363,0.1714613082437072,0.14031742016807244,10201.837977860585,2393.4006595201645,2033.886356917381,2134.772535994714,ok,
global,1,2012.5,100.0,205.21788786180807,0.15841270900359258,0.17057340723447822,0.13762818532148016,9687.824280389757,2261.485586891983,1894.7664547710808,2100.04706703658,ok,
global,1,2062.5,50.0,210.31646892669772,0.16393990998423658,0.16975923410734947,0.13508889971088367,9254.419503035751,2150.068434284865,1776.6633314121302,2076.156313931036,ok,
seed,0,2112.5,0.0,215.41504999158735,0.16952960597438926,0.16901368560006746,0.13268891605325364,8872.896947163503,2052.2072268843212,1673.014936479722,2058.2655297549045,ok,
local,2,2136.791063124,24.291063124000175,217.89204908138868,0.1722675486341701,0.16867227236621818,0.1315705176358723,8710.677988188389,2010.8165537813884,1628.7432970563711,2053.471781268239,ok,
global,1,2162.5,50.0,220.51363105647698,0.1751811099843143,0.16832649485167273,0.13041902479154355,8548.144010658028,1969.1214075466137,1584.2611816156655,2049.1030297177276,ok,
local,2,2186.791063124,74.29106312400017,222.99063014627833,0.17794883897623798,0.16801411661112325,0.12936040644291166,8420.090484151053,1937.097798411582,1548.7328881650299,2051.4334444252663,ok,
local,2,2211.791063124,99.29106312400017,225.53992067872315,0.18081233460879279,0.16770667033585113,0.1282996790745969,8270.564290210144,1897.9404759396577,1507.75820879755,2046.052581379824,ok,
global,1,2212.5,100.0,225.61221212136664,0.18089375704832128,0.16769815505934288,0.12827001567708013,8265.9860939642,1896.5125218670107,1506.3569468873238,2045.5377092903368,ok,
refine,3,2221.791063124,109.29106312400017,226.55963689170108,0.18196197276487902,0.16758757626591989,0.1278833462223141,8230.326094228369,1888.707808785979,1496.6030438719597,2050.5014923618305,ok,
local,2,2236.791063124,124.29106312400017,228.08921121116796,0.18369095692166224,0.16741300461467748,0.12726718291285877,8136.2390269107955,1863.8986270690446,1471.355664732524,2044.9249586834637,ok,
refine,3,2246.791063124,134.29106312400017,229.1089274241459,0.18484662365572493,0.16729929447859876,0.12686187813201663,8096.754707303623,1854.63841396741,1460.3794581310885,2048.958496568213,ok,
local,2,2261.791063124,149.29106312400017,230.63850174361278,0.18658462725113675,0.1671326652850369,0.12626198200101516,8011.872015434049,1831.9478969032104,1437.1312382162535,2044.9616871903208,ok,
global,1,2262.5,150.0,230.71079318625627,0.18666690308112163,0.16712490554965628,0.12623386610987525,8009.097250436893,1831.446201290046,1436.472857178233,2045.3932398452273,ok,
refine,4,2279.291063124,166.79106312400017,232.42300511632416,0.1886191085262419,0.16694412349451582,0.1255741011719001,7933.302408252754,1812.3926783983775,1415.6287869470484,2047.49736790395,ok,
local,2,2286.791063124,174.29106312400017,233.1877922760576,0.18949326814096595,0.1668652177858534,0.12528318131120786,7892.763341735572,1802.1477671731636,1405.0166447684137,2046.3262586182102,ok,
refine,4,2291.791063124,179.29106312400017,233.69765038254656,0.19007678605322512,0.1668132383809842,0.12509051318681552,7876.36760510671,1798.1985057630297,1400.2308791037801,2048.767614068781,ok,
refine,3,2296.791063124,184.29106312400017,234.20750848903555,0.1906608991283906,0.166761754710312,0.12489886003084068,7855.052875126724,1792.4999680695068,1394.0851440660617,2049.1834450741294,ok,
local,2,2311.791063124,199.29106312400017,235.73708280850244,0.19241680331198752,0.16661024609711636,0.12432992453135487,7788.936321385583,1776.1481843595875,1376.3128287665415,2051.053547014282,ok,
refine,5,2313.041063124,200.54106312400017,235.86454733512466,0.19256336969293505,0.16659781778283164,0.12428291736625019,7785.144099170166,1774.866469062591,1374.9155180247474,2051.287600194593,ok,
refine,4,2316.791063124,204.29106312400017,236.2469409149914,0.19300329102849353,0.16656071349296825,0.12414226569117891,7783.6142109043,1775.3455275285653,1374.0427044772812,2056.986909914505,ok,
refine,5,2319.291063124,206.79106312400017,236.50186996823587,0.193296756986448,0.16653612735930706,0.12404880509496291,7759.3830880832065,1768.373180528527,1367.8112084451684,2052.3268536806195,ok,
refine,3,2321.791063124,209.29106312400017,236.75679902148036,0.19359037091178524,0.16651166082295582,0.12395558932253799,7744.971447089788,1764.6178866162759,1364.0746647901524,2051.3804923345215,ok,
refine,6,2327.416063124,214.91606312400017,237.33038939128045,0.1942515428655148,0.16645704640653428,0.12374674488602937,7717.53989823803,1757.030205081239,1356.3851597454895,2050.2126143187193,ok,
refine,4,2329.291063124,216.79106312400017,237.5215861812138,0.1944720997509004,0.1664389749640926,0.12367740306674288,7716.866149492069,1757.631742312914,1356.2237865619948,2053.461948408425,ok,
refine,6,2330.541063124,218.04106312400017,237.64905070783604,0.1946191838237069,0.16642696424260497,0.12363125073392953,7712.739905790125,1756.6149571207425,1355.0242669042502,2053.9741431868265,ok,
refine,5,2331.791063124,219.29106312400017,237.7765152344583,0.19476630480512858,0.16641498299140475,0.12358515872511512,7706.94459898138,1755.38275204832,1353.6734217201047,2054.233124304777,ok,
refine,7,2335.853563124,223.35356312400017,238.19077494598056,0.19524470278356928,0.1663762468848042,0.12343577513888704,7688.595423615638,1750.0380246001203,1348.245659759222,2053.4889923769574,ok,
local,2,2336.791063124,224.29106312400017,238.28637334094725,0.1953551576328062,0.16636735174764383,0.12340139199416021,7677.004642859882,1747.3598694382856,1345.854277574894,2051.6139775312568,ok,
refine,7,2337.416063124,224.91606312400017,238.35010560425837,0.19542880571877103,0.16636143079349636,0.12337848860060112,7685.769974326873,1749.814745292619,1347.549449205914,2055.3343812847475,ok,
refine,5,2338.041063124,225.54106312400017,238.4138378675695,0.19550246301924293,0.16635551714237243,0.12335560015538663,7678.549161968801,1747.9148336269927,1345.8844561716078,2053.949632291517,ok,
