scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1997.5,203.68831354234118,0.134223580727856,0.134223580727856,0.134223580727856,5498.3920100799505,1337.6650511808505,1481.38566646502,1302.6154733066173,ok,
refine,1,2032.5,207.25732028776392,0.13404635767169779,0.13404635767169779,0.13404635767169779,5466.603533709507,1328.3093044901002,1471.0243097478865,1293.5049677516713,ok,
focus,0,2047.5,208.7868946072308,0.1339769538226535,0.1339769538226535,0.1339769538226535,5450.456439371839,1323.1969655051673,1465.3624668578734,1288.526637933588,ok,
refine,1,2057.5,209.80661082020876,0.13393280377865113,0.13393280377865113,0.13393280377865113,5448.392443541762,1323.0206843761764,1465.167238008659,1288.354977642006,ok,
refine,1,2082.5,212.35590135265358,0.13382966725302828,0.13382966725302828,0.13382966725302828,5417.135028975894,1313.515899330038,1454.6408234275464,1279.0993404573203,ok,
focus,0,2097.5,213.88547567212046,0.1337726301985523,0.1337726301985523,0.1337726301985523,5406.398816910505,1310.3811588682224,1451.169142842969,1276.0467705946799,ok,
refine,1,2107.5,214.9051918850984,0.13373657608989112,0.13373657608989112,0.13373657608989112,5412.277239241184,1313.1542207083855,1454.2402694856992,1278.7471424767004,ok,
refine,1,2132.5,217.4544824175432,0.1336531753425054,0.1336531753425054,0.1336531753425054,5379.55901338417,1302.6979587214878,1442.66010769261,1268.564969309295,ok,
focus,0,2147.5,218.9840567370101,0.13360764468187336,0.13360764468187336,0.13360764468187336,5369.819900093356,1299.9046643221545,1439.5665737776658,1265.844895221902,ok,
refine,1,2157.5,220.00377294998802,0.13357912613836467,0.13357912613836467,0.13357912613836467,5375.279780380297,1302.5147204860657,1442.4571739467333,1268.38653427713,ok,
refine,1,2182.5,222.55306348243286,0.13351410476303432,0.13351410476303432,0.13351410476303432,5345.548633654107,1293.109683751069,1432.0412292049434,1259.2280307123244,ok,
refine,2,2190.0,223.3178506421663,0.1334963121600237,0.1334963121600237,0.1334963121600237,5348.268443695127,1294.5477635351133,1433.6338821617524,1260.628414272724,ok,
focus,0,2197.5,224.08263780189975,0.13347929601023756,0.13347929601023756,0.13347929601023756,5337.564131017025,1290.9458640546654,1429.6448295922685,1257.1209309782673,ok,
refine,2,2202.5,224.5924959083887,0.1334683793159201,0.1334683793159201,0.1334683793159201,5344.610000203419,1293.8686267837052,1432.8817478454168,1259.9670796566008,ok,
refine,1,2207.5,225.10235401487768,0.13345780180643033,0.13345780180643033,0.13345780180643033,5341.848975732035,1293.1084789403417,1432.0398948941568,1259.2268574831648,ok,
refine,2,2215.0,225.8671411746111,0.13344256643343486,0.13344256643343486,0.13344256643343486,5339.749315162684,1292.733986360732,1431.6251496756818,1258.8621814354271,ok,
refine,2,2227.5,227.14178644083353,0.1334188374218973,0.1334188374218973,0.1334188374218973,5317.497055019891,1285.3907626286284,1423.4926335808127,1251.7114448011528,ok,
refine,1,2232.5,227.6516445473225,0.1334099213666311,0.1334099213666311,0.1334099213666311,5314.90195489835,1284.6873754761052,1422.7136422893163,1251.0264954569516,ok,
refine,2,2240.0,228.41643170705595,0.13339715697475305,0.13339715697475305,0.13339715697475305,5316.616693366773,1285.7413249466608,1423.8808763741226,1252.0528178685686,ok,
focus,0,2247.5,229.18121886678938,0.13338511761596494,0.13338511761596494,0.13338511761596494,5310.311800403637,1282.8472435502001,1420.6757222898639,1249.2345987022688,ok,
refine,2,2252.5,229.69107697327834,0.13337749054796352,0.13337749054796352,0.13337749054796352,5313.7437022344475,1285.3391089103168,1423.4354278206654,1251.6611450759501,ok,
refine,1,2257.5,230.2009350797673,0.13337018030675493,0.13337018030675493,0.13337018030675493,5311.737129202974,1284.8543392400707,1422.8985522889627,1251.18908261855,ok,
