scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1462.5,700.0,149.133496148022,0.10196095715984652,0.18618025706349503,0.24901608213589962,,,,,failed,Rotor outlet enthalpy too high. Reduce RPM!
global,1,1612.5,550.0,164.42923934269095,0.11653570306970394,0.18051143842071632,0.227903743217741,,,,,failed,Rotor outlet enthalpy too high. Reduce RPM!
global,1,1762.5,400.0,179.72498253735986,0.13173987941953247,0.17613313993766935,0.21056814648194205,30671.84745181043,7421.858860509727,9177.689823002198,5550.579166338985,ok,
global,1,1862.5,300.0,189.92214466713915,0.14221330294994747,0.17377983929973567,0.20065865408438513,17483.16909864971,4174.267752944833,4985.473853885579,3415.628000864096,ok,
global,1,1962.5,200.0,200.11930679691844,0.15294871327860363,0.17179999928721384,0.1918321517504912,13326.254313350328,3144.6376994035036,3631.9321083464342,2799.2484907010657,ok,
global,1,2062.5,100.0,210.31646892669772,0.16393990998423658,0.17014066500093275,0.18393111365281833,11134.568987919478,2602.896659435655,2910.532841423122,2507.742376368853,ok,
global,1,2112.5,50.0,215.41504999158735,0.16952960597438926,0.16941737467933354,0.18028657279450774,10370.183140175008,2413.862664412298,2656.9693098641364,2415.180474176047,ok,
seed,0,2162.5,0.0,220.51363105647698,0.1751811099843143,0.16875865420685363,0.17682715168923202,9736.85354133884,2257.571520059943,2446.7586942032294,2343.2151742501696,ok,
local,2,2187.036703219,24.536703219000174,223.0156784650212,0.17797690070877864,0.1684577177998449,0.17519335269250622,9476.018100363071,2192.9436030159827,2359.0002808043896,2316.5922700407127,ok,
global,1,2212.5,50.0,225.61221212136664,0.18089375704832128,0.1681602783763254,0.17354029984525993,9223.22967002321,2131.0961664148253,2274.8345467565573,2292.20080181133,ok,
refine,3,2222.036703219,59.536703219000174,226.58468521044395,0.181990242900212,0.16805267492780362,0.17293201562528077,9147.469136173946,2112.9972570905747,2249.055826787754,2287.9737021274473,ok,
local,2,2237.036703219,74.53670321900017,228.11425952991087,0.18371931590611318,0.1678875241535632,0.17198693752756417,8990.104438714101,2073.2403827713274,2196.8350837743324,2268.4827239663873,ok,
refine,3,2247.036703219,84.53670321900017,229.1339757428888,0.18487504171939118,0.16778016447191524,0.17136469337699844,8904.740741841477,2052.7947609968965,2168.6791444986347,2261.687526833905,ok,
local,2,2262.036703219,99.53670321900017,230.66355006235568,0.1866131337052189,0.16762316640477307,0.17044283191989087,8793.789903803972,2025.9857214029512,2130.8499883814425,2255.2462253717736,ok,
global,1,2262.5,100.0,230.71079318625627,0.18666690308112163,0.16761839366674952,0.1704145762065935,8775.41527187077,2020.9033290858695,2125.208272651844,2250.3009892157356,ok,
local,2,2287.036703219,124.53670321900017,233.2128405948005,0.18952192130951342,0.16737205408866454,0.1689364048178967,8581.522216420664,1973.5480662041307,2060.4261265832456,2234.4653043222866,ok,
refine,4,2289.536703219,127.03670321900017,233.467769648045,0.1898136204628853,0.1673476553362544,0.1687877869064264,8574.722687575106,1972.201034553963,2057.5248265958016,2236.7031015275447,ok,
refine,3,2297.036703219,134.53670321900017,234.23255680777842,0.19068961077384491,0.1672752249806679,0.16834410838673397,8520.975081100305,1959.1538370331343,2039.4207401814438,2233.126714122283,ok,
refine,4,2302.036703219,139.53670321900017,234.74241491426739,0.19127434760312942,0.16722757234523603,0.16805012357451118,8465.9729368361,1944.6267226236794,2021.333705864999,2223.998628835062,ok,
local,2,2312.036703219,149.53670321900017,235.7621311272453,0.19244560245125253,0.1671337751331041,0.1674664339711207,8396.455245649318,1928.0022284840727,1998.205166050786,2219.7332182670057,ok,
global,1,2312.5,150.0,235.80937425114593,0.1924999238149432,0.16712947796306096,0.1674395292139696,8395.702073097185,1927.9558572096225,1997.891421595442,2220.3633155381413,ok,
refine,5,2318.286703219,155.78670321900017,236.39945376035652,0.19317884102395264,0.16707616399765074,0.16710449933675944,8369.194938473707,1921.9147192327212,1988.2936418149473,2221.920877234907,ok,
refine,3,2322.036703219,159.53670321900017,236.78184734022324,0.19361922823359173,0.16704196794281764,0.16688838962185298,8343.866515063848,1915.8691075276429,1979.8755816865705,2220.4353920043363,ok,
refine,5,2324.536703219,162.03670321900017,237.03677639346773,0.19391300457953975,0.1670193242061823,0.1667447520676209,8319.838818566177,1909.4775941207968,1971.8443327829702,2216.686093075985,ok,
refine,4,2327.036703219,164.53670321900017,237.2917054467122,0.1942069287373609,0.16699680293411437,0.1666014616743168,8305.427041200335,1906.2992591073296,1967.135994924756,2216.649660826678,ok,
refine,6,2335.161703219,172.66170321900017,238.12022486975678,0.1951632021831115,0.16692445002443337,0.16613815200040868,8231.94111720454,1887.5019045127585,1943.1465159218797,2206.553661033282,ok,
local,2,2337.036703219,174.53670321900017,238.31142165969013,0.19538410201017692,0.16690793497408513,0.16603174942825769,8212.615110984207,1882.6787273945954,1937.1225708677864,2203.625999136352,ok,
refine,6,2338.286703219,175.78670321900017,238.43888618631237,0.19553141463948384,0.16689696263611806,0.16596092116493044,8229.639118013454,1887.6332726973828,1941.5489695711326,2211.2362618644634,ok,
refine,4,2339.536703219,177.03670321900017,238.56635071293462,0.19567876412042642,0.16688602040072587,0.16589017816966964,8217.695988916825,1884.7371264714102,1937.8697738244236,2209.652291454637,ok,
refine,7,2342.349203219,179.84920321900017,238.85314589783465,0.19601043514384972,0.1668615101950428,0.16573131748461872,8190.457770087726,1877.849688699818,1929.201766579778,2205.629768105885,ok,
refine,5,2343.286703219,180.78670321900017,238.94874429280134,0.1961210335813947,0.166853373849555,0.1656784594277266,8200.129127533266,1880.569923708732,1931.4944198177577,2210.1822275144186,ok,
refine,7,2343.911703219,181.41170321900017,239.01247655611246,0.19619477737801494,0.16684795897004068,0.16564324720272303,8190.636564910862,1878.1484015951821,1928.6616534679526,2208.2379214634693,ok,
refine,6,2344.536703219,182.03670321900017,239.07620881942358,0.19626853037724012,0.16684255156450553,0.1656080561416275,8187.481267084147,1877.371786140544,1927.5171980739003,2208.226151427484,ok,
refine,3,2347.036703219,184.53670321900017,239.33113787266808,0.19656363437734253,0.166820996568046,0.16546750319817852,8146.313468334517,1866.5928816886874,1915.0384455984888,2199.133036642412,ok,
refine,6,2347.661703219,185.16170321900017,239.39487013597918,0.19663743337246023,0.1668156264468767,0.16543241770317,8147.648083153288,1866.9599885189114,1915.0842592218696,2200.461629347581,ok,
refine,7,2348.599203219,186.09920321900017,239.49046853094586,0.19674814910682092,0.16680758521299194,0.16537982894787592,8145.120991603041,1866.5130488523787,1914.1077942708366,2201.2777129640363,ok,
refine,5,2349.536703219,187.03670321900017,239.58606692591255,0.19685888552778227,0.16679956069953508,0.1653272875268251,8145.3891540796285,1866.9882336476035,1914.084447066891,2203.1897601038627,ok,
refine,7,2350.161703219,187.66170321900017,239.64979918922367,0.19693272129907988,0.16679422030358365,0.1652922861816197,8143.824690803518,1866.7225393053436,1913.4621169763852,2203.766032669429,ok,
