scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1612.5,450.0,164.42923934269095,0.11653570306970394,0.1801367235385762,0.1295555631423506,8611.800454678993,2132.6596567400043,1586.4201655155284,1379.5208826112994,ok,
global,1,1712.5,350.0,174.62640147247023,0.126603477097509,0.17703275778606722,0.12370489263380277,7974.489147254981,1940.4212800892535,1402.3895156598273,1387.5096973261711,ok,
global,1,1812.5,250.0,184.8235636022495,0.1369434376403505,0.17439982219184258,0.11859772576653864,7490.434100037204,1794.1362620541536,1261.8935134520582,1408.6419322990937,ok,
global,1,1912.5,150.0,195.02072573202878,0.14754865764183397,0.17216334637226288,0.11411757633332556,7130.412896260788,1686.1987897067297,1156.0002751952918,1444.9517321756796,ok,
local,2,1923.571707484,138.92829251600006,196.14972569470717,0.148738864236321,0.1719375197934776,0.11365584759872235,7109.598325588905,1680.0830653107132,1148.669723709196,1453.2306210996562,ok,
global,1,1962.5,100.0,200.11930679691844,0.15294871327860363,0.17117537260439905,0.11208254300173953,6993.746397531305,1645.8895978365179,1114.654766880457,1470.4668220236467,ok,
local,2,1973.571707484,88.92829251600006,201.2483067595968,0.15415314304163388,0.17096739095138097,0.11164889437283719,6952.487158106482,1633.4072014945727,1103.2321011063339,1472.5958844166728,ok,
refine,3,1983.571707484,78.92829251600006,202.26802297257473,0.1552436755216391,0.17078278366502667,0.11126232276965035,6935.540060278237,1628.4880123589078,1097.3176714666167,1480.1453868162296,ok,
local,2,1998.571707484,63.928292516000056,203.79759729204164,0.15688424430126063,0.17051153925430498,0.11069137976856927,6884.099581881549,1613.1808893978007,1083.116234537077,1484.0845308213457,ok,
refine,3,2008.571707484,53.928292516000056,204.81731350501957,0.15798112831069683,0.1703344217534288,0.1103165905017157,6859.241117468515,1605.3962699354893,1075.3808191490473,1488.7954333548093,ok,
global,1,2012.5,50.0,205.21788786180807,0.15841270900359258,0.1702656456075164,0.11017062194556147,6848.051792997493,1602.283612914873,1072.286681236662,1490.5700643224272,ok,
local,2,2023.571707484,38.928292516000056,206.34688782448646,0.15963119702708145,0.17007420401284218,0.10976299259874758,6826.189039062892,1595.739752015155,1065.1780123056014,1497.5846224561765,ok,
refine,4,2041.071707484,21.428292516000056,208.13139119719781,0.16156344710440793,0.16977872364493796,0.1091298793838892,6784.784624261515,1583.6743879138226,1052.860063488921,1506.8697661729452,ok,
local,2,2048.571707484,13.928292516000056,208.89617835693127,0.16239391085164243,0.1696547098417836,0.10886266671658532,6768.825683504087,1578.8393062062216,1047.8396352855289,1511.094870370398,ok,
refine,4,2053.571707484,8.928292516000056,209.40603646342024,0.16294833710332884,0.16957289480389584,0.10868587872869084,6746.944823315117,1571.852088832664,1042.008340703434,1510.2719609631624,ok,
refine,3,2058.571707484,3.928292516000056,209.9158945699092,0.16350338953657595,0.16949176259690002,0.1085101645683164,6733.779558868368,1568.1022191947675,1038.337699280514,1512.524851742968,ok,
local,2,2061.071707484,1.428292516000056,210.1708236231537,0.16378115035203764,0.1694514510074237,0.10842270773182233,6723.387781681181,1564.7591224798907,1035.5522292814542,1512.2346072945336,ok,
seed,0,2062.5,0.0,210.31646892669772,0.16393990998423658,0.1694284961430365,0.10837286140440738,6720.758963052318,1563.978453486355,1034.6723640834587,1513.1395943966932,ok,
local,2,2073.571707484,11.071707483999944,211.4454688893761,0.16517229692435526,0.16925241373583788,0.1079893873912549,6691.516882332062,1555.1535306284607,1026.2554700798146,1517.489207790115,ok,
refine,5,2074.821707484,12.321707483999944,211.57293341599834,0.16531162605103042,0.16923273926707577,0.10794641586428741,6689.595221653359,1554.5658591954766,1025.611904665188,1518.3828584037938,ok,
refine,4,2078.571707484,16.071707483999944,211.95532699586505,0.16572984709413877,0.1691739638622521,0.1078178912535294,6689.561704298927,1554.7987778098175,1024.8833590565891,1522.970106837145,ok,
refine,5,2081.071707484,18.571707483999944,212.21025604910955,0.1660088557340495,0.16913498618457376,0.10773253198391736,6685.6143579773,1553.6058623331453,1023.5252941056838,1524.7148684469566,ok,
refine,3,2083.571707484,21.071707483999944,212.465185102354,0.16628801996220488,0.1690961725577697,0.10764743067009735,6676.74129383435,1551.1330553388896,1021.3197275431354,1525.1979817728509,ok,
refine,6,2089.196707484,26.696707483999944,213.0387754721541,0.16691670789908272,0.16900943866794715,0.1074568910694856,6661.412090616568,1546.3654057094136,1016.9160802995461,1527.0500965384017,ok,
refine,4,2091.071707484,28.571707483999944,213.22997226208747,0.16712644531536625,0.16898071011774135,0.1073936652136395,6670.002925835189,1549.5939352372634,1018.6004104609441,1532.4133718321593,ok,
refine,6,2092.321707484,29.821707483999944,213.35743678870972,0.16726631877569054,0.16896160830221954,0.10735159412724124,6659.126508590598,1545.6019745138176,1015.6961086055858,1529.917824566807,ok,
refine,5,2093.571707484,31.071707483999944,213.48490131533194,0.1674062310364361,0.16894254684348187,0.10730958649532858,6654.550891275433,1544.5417432982476,1014.7141721328171,1530.3198496035823,ok,
refine,7,2097.634207484,35.134207483999944,213.89916102685424,0.16786121372008675,0.168880874947421,0.10717349855347806,6644.560633483586,1541.5092845061108,1011.8171587291883,1532.0303540594673,ok,
local,2,2098.571707484,36.071707483999944,213.9947594218209,0.16796626786989208,0.16886670313863816,0.10714218824533159,6637.483660072131,1539.186453852588,1010.0541555676431,1530.8029168653131,ok,
refine,7,2099.196707484,36.696707483999944,214.05849168513203,0.1680363160784902,0.1688572677674733,0.10712133436241764,6643.2563086759865,1541.0521687180837,1011.1572211421231,1533.383242156005,ok,
refine,5,2099.821707484,37.321707483999944,214.12222394844315,0.16810637397251713,0.1688478423870077,0.1071004961878069,6642.330478976272,1540.808832662995,1010.8564976920312,1533.8659377422891,ok,
refine,6,2101.696707484,39.196707483999944,214.31342073837652,0.16831660575386365,0.16881962610095366,0.10703807577368987,6637.497462424425,1539.3318862623812,1009.4762677758929,1534.5712016916507,ok,
refine,7,2102.321707484,39.821707483999944,214.37715300168765,0.1683867023763017,0.16881024059448455,0.10701730029227126,6637.260113827478,1539.2288709418315,1009.2612181618908,1535.190172133007,ok,
refine,4,2103.571707484,41.071707483999944,214.50461752830986,0.1685269246561881,0.16879149941176216,0.10697579623062695,6636.96411012994,1539.3572536315673,1009.0731472673518,1536.7691050448352,ok,
refine,7,2103.884207484,41.384207483999944,214.53648365996543,0.168561986274152,0.16878682032426812,0.1069654299761409,6635.631381350328,1538.8196280037723,1008.6499197125003,1536.5930088602222,ok,
refine,6,2104.821707484,42.321707483999944,214.6320820549321,0.16866718564056973,0.16877279794379133,0.1069343546110854,6636.271939059798,1539.0703102894856,1008.6033146982758,1537.927655742832,ok,
refine,7,2105.446707484,42.946707483999944,214.69581431824324,0.1687373306436287,0.16876346208080079,0.10691365718235729,6635.342674170031,1538.8243079974532,1008.3029353532798,1538.4124594237767,ok,
refine,5,2106.071707484,43.571707483999944,214.75954658155436,0.16880748531883144,0.16875413612007456,0.10689297532249277,7717.230437156296,1789.411339587783,1172.3187947589684,1789.771068432827,ok,
