scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1462.5,700.0,149.133496148022,0.10196095715984652,0.19595629738714354,0.061832882301886424,10008.847815863533,2694.8752455842555,897.3428718719965,1401.896378696947,ok,
global,1,1612.5,550.0,164.42923934269095,0.11653570306970394,0.18992912274233686,0.0599918546400524,8891.67111288898,2321.563842559457,773.8265313915518,1424.1332752969788,ok,
global,1,1762.5,400.0,179.72498253735986,0.13173987941953247,0.18520382043062403,0.05881405590007299,8187.931670962282,2083.3628953751117,698.195137775804,1481.6129733647986,ok,
global,1,1862.5,300.0,189.92214466713915,0.14221330294994747,0.18260651194995148,0.0583182501861887,7863.09848631415,1972.379744617083,664.7617936507474,1535.7375715122894,ok,
global,1,1962.5,200.0,200.11930679691844,0.15294871327860363,0.18035912705495125,0.058012713415755215,7593.655419197464,1881.137106203444,638.4878466189698,1594.8900489888556,ok,
local,2,2037.035190686,125.46480931399992,207.71978103491,0.16111707433813255,0.17887259833019084,0.05789208346789026,7441.5252578746085,1828.7003245356766,624.5476094278407,1646.8076943989524,ok,
refine,3,2047.5,115.0,208.7868946072308,0.16227515585898808,0.17867517311587075,0.057881809478348666,7440.854353190251,1828.1338808739565,624.9587483651077,1659.9628889608543,ok,
global,1,2062.5,100.0,210.31646892669772,0.16393990998423658,0.17839668692899244,0.05786980553717479,7410.958689509106,1817.5159373756262,622.1717488116433,1669.8547280292194,ok,
refine,3,2072.5,90.0,211.33618513967565,0.16505287189198597,0.1782138957507586,0.057863554368404256,7371.278667586626,1804.1822513426891,618.1453183594818,1670.5694059463835,ok,
local,2,2087.035190686,75.46480931399992,212.81836209979966,0.1666750291343672,0.17795217219424675,0.05785691937554734,7347.685833808816,1795.9583318919995,616.1603758173876,1681.768062864691,ok,
local,2,2112.035190686,50.46480931399992,215.36765263224447,0.16947735745352263,0.17751259661359828,0.057852141860727034,7304.1773078977785,1780.762749234092,612.4084063336632,1699.7739496747568,ok,
global,1,2112.5,50.0,215.41504999158735,0.16952960597438926,0.1775045466016267,0.05785213098396539,7324.24945370106,1787.3420997769947,614.727300337188,1706.6572700764061,ok,
refine,4,2115.0,47.5,215.66997904483185,0.1698107188492226,0.1774613243649588,0.05785212065090053,7320.19299975071,1785.773291643151,614.3401994154451,1708.4027435505627,ok,
refine,3,2122.5,40.0,216.43476620456528,0.17065498372334378,0.1773324116976375,0.05785257465181139,7285.545815214316,1774.3080346290967,610.8126851569313,1707.113807322545,ok,
refine,4,2127.5,35.0,216.94462431105424,0.1712185980066073,0.17724709066922473,0.057853278641617434,7280.57350976807,1772.4435512236744,610.4729077026137,1711.7756058421512,ok,
local,2,2137.035190686,25.464809313999922,217.9169431646893,0.1722951390042782,0.17708573209549078,0.057855501964079896,7280.695220909504,1772.232419467822,611.0021679952862,1723.906225227922,ok,
refine,5,2143.75,18.75,218.60166315714338,0.17305459553009403,0.17697314697913286,0.057857754235401626,7275.324101920794,1769.997784003729,610.652532398396,1730.4180632474267,ok,
refine,3,2147.5,15.0,218.9840567370101,0.1734792089183296,0.17691064175641366,0.057859256684734246,7272.183138806719,1768.8664429632208,610.491589678125,1734.1676304428618,ok,
refine,5,2150.0,12.5,219.2389857902546,0.1737624762106315,0.1768691172691844,0.05786035513323296,7243.448043212675,1759.5400704125946,607.3974733756795,1728.2467550719398,ok,
refine,4,2152.5,10.0,219.49391484349906,0.17404589676677568,0.17682770844958848,0.05786153071999123,7239.977501742102,1758.2439261475736,607.1041280834103,1730.1955731753314,ok,
refine,6,2154.375,8.125,219.68511163343243,0.1742585627137234,0.17679672729886528,0.05786246287081776,7242.199150903568,1758.7326845958717,607.4120566901786,1733.0967513275334,ok,
refine,6,2157.5,5.0,220.00377294998802,0.17461319734123518,0.17674523487061553,0.05786411223779738,7239.230510713817,1757.6384947228266,607.2283824140379,1736.0486838336078,ok,
local,2,2162.035190686,0.46480931399992187,220.4662336971341,0.17512828997988417,0.17667082088069272,0.05786671792352206,7235.276909663294,1756.3121670034884,607.0539735390958,1740.5911782741844,ok,
seed,0,2162.5,0.0,220.51363105647698,0.1751811099843143,0.1766632151531256,0.057866999109549774,7234.430870663232,1755.9928068239294,606.9595012895198,1740.8704808159923,ok,
refine,6,2163.75,1.25,220.64109558309923,0.17532318370396752,0.1766427804550121,0.057867768291469716,7231.964423457298,1754.8952974747424,606.6705663610392,1741.395838416295,ok,
refine,4,2165.0,2.5,220.76856010972148,0.17546529562672458,0.17662237366742423,0.05786855639334426,7234.569617836502,1755.894442724586,607.0944006913335,1744.0009866583505,ok,
refine,7,2165.9375,3.4375,220.86415850468816,0.17557190463343678,0.17660829922744312,0.05786914612296801,7222.920620562947,1751.988171740933,605.7982354372583,1741.3170968059212,ok,
refine,6,2166.875,4.375,220.95975689965485,0.1756785351193468,0.17659521476809645,0.05786973545844695,7230.22243284836,1754.5554519030875,606.7387651392377,1745.0619382585505,ok,
refine,7,2167.5,5.0,221.02348916296597,0.17574963404071678,0.17658650406976775,0.057870134224712114,7219.163076568598,1750.9781329346429,605.5094959446802,1742.2892058192251,ok,
refine,5,2168.75,6.25,221.1509536895882,0.17589186051155553,0.1765691120959214,0.057870945841224264,7229.780905647362,1754.5999681312053,606.857606829114,1747.4864321909956,ok,
refine,6,2170.0,7.5,221.27841821621044,0.17603412514470512,0.176551759299029,0.05787177620933593,7230.297501205768,1754.0087101688796,606.7168138777631,1748.468959503147,ok,
refine,7,2170.625,8.125,221.34215047952156,0.17610527176896554,0.17654309757192838,0.057872198415117974,7225.749734831394,1753.5212965482863,606.5865340016724,1748.7871375784512,ok,
refine,7,2172.1875,9.6875,221.50148113779937,0.17628318005016858,0.17652148598153702,0.05787327437719806,7227.77798051957,1753.3236024263622,606.6009134863963,1750.5626844699823,ok,
refine,3,2172.5,10.0,221.53334726945494,0.17631876885723313,0.1765171709801761,0.0578734930708875,7231.420824221669,1754.7877063326569,607.1250471481054,1752.422382095919,ok,
refine,6,2173.125,10.625,221.59707953276603,0.17638995362091608,0.1765085482862101,0.05787393395551188,7229.73057041749,1753.6890103599205,606.7764877097615,1752.1099615106298,ok,
refine,7,2173.75,11.25,221.66081179607716,0.1764611479162798,0.17649993533062752,0.05787437949977846,7228.212753213876,1753.478185498284,606.73987513332,1752.7063512994262,ok,
refine,5,2175.0,12.5,221.7882763226994,0.17660356509697386,0.17648273860285582,0.057875284551170525,7231.562497383954,1753.7154212362595,606.8912213052889,1754.5246833674116,ok,
refine,7,2175.3125,12.8125,221.82014245435496,0.17663917534746565,0.17647844549500535,0.05787551372002223,7228.175846160452,1752.794068577137,606.5878963249198,1753.9863091624643,ok,
refine,4,2177.5,15.0,222.0432053759439,0.1768885137827295,0.17644846165911596,0.057877150393174405,7234.683030018327,1753.3748376268718,606.9107864810221,1757.3530883924159,ok,
refine,7,2178.4375,15.9375,222.13880377091056,0.17699540882582554,0.17643564777467094,0.05787786920305395,7257.153128138559,1760.6410500220795,609.48531501444,1765.8306251992128,ok,
refine,6,2179.375,16.875,222.23440216587724,0.17710232529097047,0.17642285565037982,0.05787859842061382,7236.8354897147365,1753.252193746848,606.9715940361583,1759.6093647063324,ok,
refine,5,2181.25,18.75,222.4255989558106,0.17731622247033701,0.17639733657619516,0.05788008802509597,7263.563113640719,1761.5923031341413,609.9717147112659,1770.3714844247822,ok,
refine,7,2181.5625,19.0625,222.45746508746618,0.1773518803269728,0.1763930918342618,0.057880340327194746,7264.2632261175895,1761.6984070947785,610.0255266283352,1770.8767710778768,ok,
refine,6,2185.625,23.125,222.87172479898845,0.17781564886280063,0.17633812896101203,0.057883724856314656,7279.138650974557,1764.7659004228815,611.3140915105243,1779.1534566047053,ok,
local,2,2187.035190686,24.535190686000078,223.01552422957892,0.17797672791369856,0.17631914479346203,0.057884945006931886,7282.894364664574,1765.4578158700697,611.6321343987188,1781.6551497605044,ok,
refine,4,2190.0,27.5,223.3178506421663,0.17831554106879563,0.17627939083213945,0.05788758611578717,7295.660662270147,1768.3089835047565,612.7845625956768,1788.3328954872939,ok,
refine,5,2193.75,31.25,223.70024422203304,0.17874439052507562,0.17622941552699423,0.05789107337551773,7310.159551022522,1771.3832413862888,614.0604533051835,1796.2596330222048,ok,
refine,3,2197.5,35.0,224.08263780189975,0.17917358162388364,0.17617978154536096,0.057894723695845064,7324.19320989387,1774.270867223544,615.2733482322138,1804.0160126419828,ok,
refine,5,2206.25,43.75,224.97488948825543,0.1801763546138832,0.17606528706967664,0.05790387056387963,7351.0783410186805,1779.3549971171594,617.5357757512995,1820.4938518748133,ok,
local,2,2212.035190686,49.53519068600008,225.56481476202376,0.18084037164411373,0.17599059288265814,0.057910398081343135,7375.73728779316,1784.7054499669925,619.7237569928639,1833.4752266010314,ok,
global,1,2212.5,50.0,225.61221212136664,0.18089375704832128,0.17598462611797175,0.05791093900068887,7378.238682518926,1785.3714814483435,619.9828815862722,1834.7631151007508,ok,
refine,4,2215.0,52.5,225.8671411746111,0.18118098276728428,0.1759526213151628,0.05791389021313552,7383.238965994207,1785.9873592560295,620.3388538590259,1838.6446915564948,ok,
