scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1997.5,203.68831354234118,0.13370944852050679,0.13370944852050679,0.13370944852050679,13957.255208861998,3456.937668903267,3875.9692260310576,3267.5145680802,ok,
refine,1,2032.5,207.25732028776392,0.13351277617908353,0.13351277617908353,0.13351277617908353,13720.143294899028,3393.237060408865,3804.54597879189,3207.304976318755,ok,
focus,0,2047.5,208.7868946072308,0.13343495748488507,0.13343495748488507,0.13343495748488507,13680.880785361565,3381.9492641876495,3791.889725117891,3196.6357909148905,ok,
refine,1,2057.5,209.80661082020876,0.1333851714629273,0.1333851714629273,0.1333851714629273,13559.364696665407,3349.076217993925,3755.031369110109,3165.5643029328994,ok,
refine,1,2082.5,212.35590135265358,0.13326785485433176,0.13326785485433176,0.13326785485433176,13466.19997486336,3324.711529964017,3727.7128681068057,3142.5348852499474,ok,
focus,0,2097.5,213.88547567212046,0.13320224871904768,0.13320224871904768,0.13320224871904768,13390.290595474118,3303.756900425123,3704.2178384401263,3122.7286428941943,ok,
refine,1,2107.5,214.9051918850984,0.13316045678124533,0.13316045678124533,0.13316045678124533,13327.184749569486,3286.5123255872472,3684.8826458683275,3106.4291312312957,ok,
refine,1,2132.5,217.4544824175432,0.13306262469006624,0.13306262469006624,0.13306262469006624,13219.540126994269,3257.433801249043,3652.2788343468064,3078.944212000385,ok,
focus,0,2147.5,218.9840567370101,0.13300837647484925,0.13300837647484925,0.13300837647484925,13156.889288500357,3240.440100681153,3633.2249303754584,3062.8818258177034,ok,
refine,1,2157.5,220.00377294998802,0.13297402205957357,0.13297402205957357,0.13297402205957357,13115.167421022556,3229.2584731811953,3620.687716613427,3052.312990716855,ok,
refine,1,2182.5,222.55306348243286,0.13289432748276706,0.13289432748276706,0.13289432748276706,13057.722677683578,3215.1150793368884,3604.829671624239,3038.9447044537515,ok,
refine,2,2190.0,223.3178506421663,0.13287210990251314,0.13287210990251314,0.13287210990251314,13027.793451302985,3207.231561718713,3595.9904086836546,3031.49323124724,ok,
focus,0,2197.5,224.08263780189975,0.13285065825983816,0.13285065825983816,0.13285065825983816,12970.120795383136,3190.696112902715,3577.450311863395,3015.863983013434,ok,
refine,2,2202.5,224.5924959083887,0.1328367787578083,0.1328367787578083,0.1328367787578083,12978.658180543473,3193.994902787987,3581.149025127438,3018.9819876446845,ok,
