scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1797.5,183.2939892827826,0.13511539837090683,0.13511539837090683,0.13511539837090683,10544.510069021113,2674.6719155536016,3014.0232165883303,2484.583379331797,ok,
refine,1,1832.5,186.86299602820537,0.13476705032834654,0.13476705032834654,0.13476705032834654,10420.891980263645,2636.7172847296883,2971.2521170337454,2449.326706311435,ok,
focus,0,1847.5,188.39257034767226,0.13462657166600867,0.13462657166600867,0.13462657166600867,10406.017850802027,2631.1433083972374,2964.9707992747553,2444.1489491653247,ok,
refine,1,1857.5,189.4122865606502,0.13453576197169492,0.13453576197169492,0.13453576197169492,10352.600246492466,2614.0149579469057,2945.6688493831657,2428.238146238346,ok,
refine,1,1882.5,191.961577093095,0.1343184225830805,0.1343184225830805,0.1343184225830805,10264.85680857462,2589.215511800054,2917.722336480258,2405.2015379271734,ok,
focus,0,1897.5,193.4911514125619,0.13419448460469072,0.13419448460469072,0.13419448460469072,10226.51066522741,2575.8594589207914,2902.6713913135004,2392.7948834825156,ok,
refine,1,1907.5,194.51086762553982,0.13411448251262356,0.13411448251262356,0.13411448251262356,10169.427799600906,2559.73042577298,2884.4955727767647,2377.8123626284673,ok,
refine,1,1932.5,197.06015815798463,0.13392342032791565,0.13392342032791565,0.13392342032791565,10121.034084247382,2545.6577227575126,2868.637034079098,2364.740000232667,ok,
focus,0,1947.5,198.58973247745155,0.1338147574262895,0.1338147574262895,0.1338147574262895,10064.508251907551,2528.2227966633927,2848.989603883871,2348.5444142108613,ok,
refine,1,1957.5,199.60944869042947,0.13374474100966363,0.13374474100966363,0.13374474100966363,10046.451576150763,2523.3037656467664,2843.4463444513044,2343.975046406051,ok,
refine,1,1982.5,202.1587392228743,0.13357797428394597,0.13357797428394597,0.13357797428394597,10017.725321501193,2512.217823086574,2830.9535881629295,2333.6771343072464,ok,
focus,0,1997.5,203.68831354234118,0.1334834453894871,0.1334834453894871,0.1334834453894871,9952.472947421718,2494.9521882787694,2811.496932434574,2317.6388057108793,ok,
refine,2,2000.0,203.94324259558567,0.13346808527296383,0.13346808527296383,0.13346808527296383,9978.448562763202,2500.506785990044,2817.756412412045,2322.7985617410363,ok,
refine,1,2007.5,204.7080297553191,0.13342267307917074,0.13342267307917074,0.13342267307917074,9944.743447978415,2489.8167789529516,2805.7098361367034,2312.868440580308,ok,
refine,2,2012.5,205.21788786180807,0.1333929509065222,0.1333929509065222,0.1333929509065222,9951.979009640732,2492.3427116321623,2808.5563114085066,2315.214820471488,ok,
refine,2,2025.0,206.4925331280305,0.13332055563906536,0.13332055563906536,0.13332055563906536,9925.93968261373,2484.7910022597916,2800.046284927905,2308.199914982835,ok,
refine,1,2032.5,207.25732028776392,0.13327841209699728,0.13327841209699728,0.13327841209699728,9899.792267556213,2476.737017277174,2790.970243716996,2300.718437522009,ok,
refine,2,2037.5,207.76717839425288,0.13325084875474416,0.13325084875474416,0.13325084875474416,9894.644307534725,2475.374086954823,2789.434356600251,2299.4523894092604,ok,
focus,0,2047.5,208.7868946072308,0.13319698558377918,0.13319698558377918,0.13319698558377918,9866.891357441466,2468.3891466756504,2781.5630226002095,2292.963964936577,ok,
refine,2,2050.0,209.0418236604753,0.1331837807606577,0.1331837807606577,0.1331837807606577,9826.980592331978,2457.3959193941673,2769.174747223117,2282.75217756602,ok,
refine,1,2057.5,209.80661082020876,0.13314478648752723,0.13314478648752723,0.13314478648752723,9804.149281370168,2450.0080203539796,2760.8493187184085,2275.8894381554915,ok,
refine,2,2062.5,210.31646892669772,0.1331193033497353,0.1331193033497353,0.1331193033497353,9808.325122043414,2451.9240697447426,2763.0085160934022,2277.669287554486,ok,
