scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1612.5,450.0,164.42923934269095,0.11653570306970394,0.18000853790837207,0.07136871478427803,9303.413691116739,2301.5375580872346,943.7567470321401,1489.8192956466637,ok,
global,1,1712.5,350.0,174.62640147247023,0.126603477097509,0.17687557921867195,0.0694217640127003,8528.230512865546,2071.4698902037917,840.8720325100716,1482.5318487317722,ok,
global,1,1812.5,250.0,184.8235636022495,0.1369434376403505,0.17421076985442852,0.06781609425868515,8003.408650427296,1916.006658200818,771.3892821093747,1505.9581243046314,ok,
global,1,1912.5,150.0,195.02072573202878,0.14754865764183397,0.17194020836204166,0.06649819776005828,7600.793107591254,1795.9429557408678,718.3600553162478,1540.9906824119093,ok,
local,2,1936.496704883,126.0032951170001,197.46770863475294,0.15013230134711492,0.1714471567750702,0.0662198102777985,7519.472005813727,1771.7512407088757,707.7446718040236,1551.3016823908301,ok,
global,1,1962.5,100.0,200.11930679691844,0.15294871327860363,0.17093376390729118,0.06593342542633929,7445.686978409826,1749.3475635753698,697.881238195564,1565.1058238750172,ok,
refine,3,1971.496704883,91.0032951170001,201.0367153801757,0.15392717664750627,0.1707610437962854,0.06583793132502602,7417.97623009657,1741.0094022061744,694.2516440835165,1569.1962011554822,ok,
local,2,1986.496704883,76.0032951170001,202.5662896996426,0.15556313732919247,0.17047853556743314,0.06568271707174726,7363.126694458839,1724.9366065169522,687.3431333925496,1573.8371100626327,ok,
refine,3,1996.496704883,66.0032951170001,203.58600591262052,0.15665695812389538,0.17029392613110514,0.06558197238828561,7325.956715602719,1713.3482649287826,682.4203677384131,1575.9623209895035,ok,
local,2,2011.496704883,51.00329511700011,205.1155802320874,0.15830244517332476,0.17002249301687117,0.06543487117799705,7299.682282095155,1705.4870238963322,678.8575851059992,1587.7396648260121,ok,
global,1,2012.5,50.0,205.21788786180807,0.15841270900359258,0.1700045694425782,0.06542520183781042,7286.662674733271,1701.6966897436475,677.3170130541376,1585.4899347607766,ok,
local,2,2036.496704883,26.003295117000107,207.66487076453222,0.16105755757166806,0.16958435566530347,0.06520014861835137,7241.782553517981,1688.273549596305,671.3262722357683,1603.2002408693152,ok,
refine,4,2038.996704883,23.503295117000107,207.91979981777672,0.16133393460014472,0.16954150091280054,0.06517737957627597,7236.973807765537,1686.7868235617118,670.6706832060534,1604.942697580668,ok,
refine,3,2046.496704883,16.003295117000107,208.68458697751015,0.16216400769004266,0.16941396459343708,0.06510982648334056,7193.483942061875,1673.7995353949675,665.305553923852,1601.984676080097,ok,
