wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw
2000.0,203.94324259558567,0.12575307476439954,0.12575307476439954,0.12575307476439954,5220.073974921181,1175.5923790900765,1304.2948881240488,1158.51574764856
2050.0,209.0418236604753,0.12596078484840958,0.12596078484840958,0.12596078484840958,5213.714361835403,1176.5145700204073,1305.3180869439068,1159.4245365518823
2100.0,214.14040472536493,0.12619481598781263,0.12619481598781263,0.12619481598781263,5206.985386780302,1177.1904963068835,1306.0680476688356,1160.0906397290119
2150.0,219.2389857902546,0.12869874861384828,0.12869874861384828,0.12869874861384828,5276.488385391,1216.172762969599,1349.3200553960996,1198.5063844563176
2200.0,224.33756685514422,0.13269809888952652,0.13269809888952652,0.13269809888952652,5402.957917624585,1283.9536873956915,1424.5250477687582,1265.3022614806782
2250.0,229.43614792003387,0.1367373929839905,0.1367373929839905,0.1367373929839905,5537.450249198431,1355.9381943738342,1504.3940425350313,1336.240631184003
2300.0,234.5347289849235,0.1408162475300786,0.1408162475300786,0.1408162475300786,5680.388264174284,1432.3809231327893,1589.2095696459212,1411.5724321711275
2350.0,239.63331004981316,0.14493428971181266,0.14493428971181266,0.14493428971181266,5835.103732000934,1514.4752231307589,1680.2956865359022,1492.4736711774583
2400.0,244.7318911147028,0.14909115680581073,0.14909115680581073,0.14909115680581073,5999.597754942247,1601.7622364661918,1777.14327643977,1578.492158796858
2450.0,249.83047217959245,0.1532864957487278,0.1532864957487278,0.1532864957487278,6175.548349015982,1695.1042780513237,1880.7091039184513,1670.4776780814416
2500.0,254.92905324448208,0.15751996272900806,0.15751996272900806,0.15751996272900806,6366.216680324026,1795.6615271032115,1992.2804230173617,1769.573547582334
