scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1462.5,650.0,149.133496148022,0.10196095715984652,0.1906229749889329,0.13445917679191585,10869.289967542858,2840.2862111848112,2096.8542146062573,1518.9928443022854,ok,
global,1,1612.5,500.0,164.42923934269095,0.11653570306970394,0.1847143750517856,0.12460855963615525,8877.008518489542,2249.425322010151,1588.2375688490038,1418.942635195144,ok,
global,1,1712.5,400.0,174.62640147247023,0.126603477097509,0.18152351856414553,0.11913615557818198,8115.998978324811,2020.9193537796546,1388.2159579666447,1409.2779818661563,ok,
global,1,1862.5,250.0,189.92214466713915,0.14221330294994747,0.17761743560957416,0.11221756138407828,7431.5985652702175,1810.5103053484845,1197.1869760904883,1449.4078403883293,ok,
global,1,1962.5,150.0,200.11930679691844,0.15294871327860363,0.17549663085497083,0.10831134868148144,7094.192384952077,1706.2708765980688,1102.1497046213258,1486.825482918369,ok,
local,2,1973.440053496,139.05994650399998,201.23488178899015,0.1541388027466572,0.1752849823980068,0.10791375817851581,7062.132929270838,1696.8002041768766,1093.3274739940457,1491.876775484369,ok,
refine,3,2008.440053496,104.05994650399998,204.8038885344129,0.15796667094497,0.17463289537540835,0.10667831679113697,6976.995490941003,1671.0301756989602,1068.389015943023,1511.3277623823171,ok,
global,1,2012.5,100.0,205.21788786180807,0.15841270900359258,0.1745596617426603,0.10653852285068395,6955.359500436434,1664.138608042467,1063.0177667126582,1509.9779215155706,ok,
local,2,2023.440053496,89.05994650399998,206.33346285387978,0.1596166897755089,0.17436475408294916,0.10616537777021731,6929.652189040052,1656.462126715696,1055.5867103771247,1516.1287411805074,ok,
refine,3,2033.440053496,79.05994650399998,207.3531790668577,0.16071985581988935,0.1741896570230786,0.10582876777880933,6912.187799177249,1651.3611128738653,1050.0665897054628,1523.43605720975,ok,
local,2,2048.440053496,64.05994650399998,208.8827533863246,0.1623793208336411,0.17393240012485597,0.10533172018145852,6868.802036575731,1637.8639733948014,1038.1136478807762,1528.8435040016539,ok,
global,1,2062.5,50.0,210.31646892669772,0.16393990998423658,0.1736970259402977,0.10487423229609073,6848.241556146086,1632.104894176417,1031.3916372112947,1540.1936348225386,ok,
local,2,2073.440053496,39.05994650399998,211.4320439187694,0.16515762460392674,0.17351766289055082,0.10452378144712718,6823.75033748929,1624.3097591828996,1024.0929783977913,1545.819350368697,ok,
refine,4,2075.940053496,36.55994650399998,211.6869729720139,0.16543631360331496,0.17347713364813122,0.10444436634730439,6819.914230123301,1623.6199513329054,1023.1211600095686,1548.1317996815364,ok,
refine,3,2083.440053496,29.05994650399998,212.45176013174733,0.16627331484900237,0.17335655899903893,0.10420759990381055,6792.677138243973,1615.1738363243703,1016.182686600376,1548.9469763426735,ok,
refine,4,2088.440053496,24.05994650399998,212.96161823823633,0.16683209335643795,0.1732770140828598,0.10405097913924392,6781.311858781452,1611.8131738959285,1012.975208397582,1551.6306064221326,ok,
local,2,2098.440053496,14.059946503999981,213.98133445121425,0.16795151370337524,0.17311991437313265,0.1037406426082824,6768.96927706409,1608.1701354616582,1008.6343501254236,1559.9254092446192,ok,
refine,3,2108.440053496,4.059946503999981,215.00105066419218,0.1690734139357253,0.17296543677139997,0.1034341334952199,6747.588410992217,1601.353556455719,1002.2855631128301,1565.0858640218803,ok,
refine,5,2109.690053496,2.8099465039999814,215.1285151908144,0.16921382556050935,0.1729463095853723,0.10339608626153185,6745.907923893519,1600.8640234868612,1001.7223908486156,1566.07996854963,ok,
local,2,2110.940053496,1.5599465039999814,215.25597971743665,0.16935427583791454,0.1729272227184248,0.10335809787859726,6727.632768335286,1594.2703168409323,997.3677010890962,1561.0989102666722,ok,
seed,0,2112.5,0.0,215.41504999158735,0.16952960597438926,0.17290345957153647,0.10331077239248607,6722.847362487182,1593.2249883604927,996.3395917900893,1561.9025812453012,ok,
refine,4,2113.440053496,0.9400534960000186,215.51090877068114,0.16963529230830707,0.17288916965624399,0.10328229724742534,6726.781294657324,1595.2230890030219,997.3759487029585,1564.9657661649455,ok,
refine,5,2115.940053496,3.4400534960000186,215.7658378239256,0.1699164632624254,0.17285127701548011,0.10320673076904484,6720.855482931957,1593.1913181300874,995.6011700987327,1565.9063467834628,ok,
