wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw
2000.0,203.94324259558567,0.12575307476439954,0.12575307476439954,0.12575307476439954,3939.403323148425,858.8046714351416,945.3638034395235,824.920173214382
2050.0,209.0418236604753,0.12596078484840958,0.12596078484840958,0.12596078484840958,3933.8933928903075,858.9978491270847,945.5764636478967,825.1057242668473
2100.0,214.14040472536493,0.12619481598781263,0.12619481598781263,0.12619481598781263,3929.3029781910463,859.5644336045631,946.2001897719107,825.649940035496
2150.0,219.2389857902546,0.12869874861384828,0.12869874861384828,0.12869874861384828,3974.5569058532064,886.3622541845498,975.700646326527,851.3897848507874
2200.0,224.33756685514422,0.13269809888952652,0.13269809888952652,0.13269809888952652,4058.1809041832266,933.5182182617876,1027.6124227114524,896.6840353231574
2250.0,229.43614792003387,0.1367373929839905,0.1367373929839905,0.1367373929839905,4143.267584333138,981.7083718992491,1080.6626895978548,942.9716456365002
2300.0,234.5347289849235,0.1408162475300786,0.1408162475300786,0.1408162475300786,4235.961327562544,1033.5396492648479,1137.721297835424,992.7566284110021
2350.0,239.63331004981316,0.14493428971181266,0.14493428971181266,0.14493428971181266,4334.342948487814,1088.486049228286,1198.2091975926357,1045.5337489979677
2400.0,244.7318911147028,0.14909115680581073,0.14909115680581073,0.14909115680581073,4438.417950134821,1146.5889672822989,1262.171959214712,1101.3427685994648
2450.0,249.83047217959245,0.1532864957487278,0.1532864957487278,0.1532864957487278,4550.12607195449,1208.4442996784564,1330.2655767750518,1160.7560575317898
2500.0,254.92905324448208,0.15751996272900806,0.15751996272900806,0.15751996272900806,4667.220500470338,1273.7842851114742,1402.1952844836544,1223.5164256840908
