wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw
2000.0,203.94324259558567,0.1258364994508132,0.1258364994508132,0.1258364994508132,8865.23242097667,2021.6048310873196,2238.8392687151395,1968.6272166821286
2050.0,209.0418236604753,0.12604805071046404,0.12604805071046404,0.12604805071046404,8862.919402461548,2025.1530676938917,2242.768890413195,1972.0824437615872
2100.0,214.14040472536493,0.12628596231439707,0.12628596231439707,0.12628596231439707,8820.555418617383,2017.8565824669815,2234.6881365496843,1964.977220481326
2150.0,219.2389857902546,0.12869874861384828,0.12869874861384828,0.12869874861384828,9175.099452483337,2139.898363019126,2369.84767693624,2083.8199335653653
2200.0,224.33756685514422,0.13269809888952652,0.13269809888952652,0.13269809888952652,9860.923719341556,2371.9347028210937,2626.824631047564,2309.773930888221
2250.0,229.43614792003387,0.1367373929839905,0.1367373929839905,0.1367373929839905,10663.699417031874,2642.8810345920197,2926.8938491948243,2573.617976936591
2300.0,234.5347289849235,0.1408162475300786,0.1408162475300786,0.1408162475300786,11632.708530079291,2968.1939345286614,3287.173270212182,2890.4034864137197
2350.0,239.63331004981316,0.14493428971181266,0.14493428971181266,0.14493428971181266,12864.26088683253,3379.5893245995994,3742.7878276823435,3291.0150153925774
2400.0,244.7318911147028,0.14909115680581073,0.14909115680581073,0.14909115680581073,14413.489153423701,3894.3494699181233,4312.877385010959,3792.2818109147
2450.0,249.83047217959245,0.1532864957487278,0.1532864957487278,0.1532864957487278,16487.649869320834,4579.256606204639,5071.402320726764,4459.235553466261
2500.0,254.92905324448208,0.15751996272900806,0.15751996272900806,0.15751996272900806,19508.73184409652,5567.660760735344,6166.045898017514,5421.730781055767
