scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1797.5,183.2939892827826,0.13511539837090683,0.13511539837090683,0.13511539837090683,7860.427391333509,1994.1441494734568,2247.135731977663,1852.430084486709,ok,
refine,1,1832.5,186.86299602820537,0.13476705032834654,0.13476705032834654,0.13476705032834654,7803.981609391776,1975.3090197754084,2225.910414000009,1834.933826595516,ok,
focus,0,1847.5,188.39257034767226,0.13462657166600867,0.13462657166600867,0.13462657166600867,7748.000019489629,1959.3357885444057,2207.9101709730794,1820.0960326724805,ok,
refine,1,1857.5,189.4122865606502,0.13453576197169492,0.13453576197169492,0.13453576197169492,7707.529692034536,1946.588909245862,2193.545705706753,1808.255249460972,ok,
refine,1,1882.5,191.961577093095,0.1343184225830805,0.1343184225830805,0.1343184225830805,7672.660637518193,1934.1118818899542,2179.485336742452,1796.6651361018344,ok,
focus,0,1897.5,193.4911514125619,0.13419448460469072,0.13419448460469072,0.13419448460469072,7637.559410292672,1925.427641335243,2169.6990613027197,1788.5982040036645,ok,
refine,1,1907.5,194.51086762553982,0.13411448251262356,0.13411448251262356,0.13411448251262356,7615.7456914501645,1916.5088973014258,2159.6485237638844,1780.3134378150157,ok,
refine,1,1932.5,197.06015815798463,0.13392342032791565,0.13392342032791565,0.13392342032791565,7551.041867873942,1898.378915285702,2139.2178370958363,1763.4722030587363,ok,
focus,0,1947.5,198.58973247745155,0.1338147574262895,0.1338147574262895,0.1338147574262895,7522.8846046555245,1889.7956801899109,2129.5453847631074,1755.499096571858,ok,
refine,1,1957.5,199.60944869042947,0.13374474100966363,0.13374474100966363,0.13374474100966363,7525.969576250676,1889.251485732589,2128.932131730955,1754.9935855018045,ok,
refine,1,1982.5,202.1587392228743,0.13357797428394597,0.13357797428394597,0.13357797428394597,7460.833855187137,1870.8611713180799,2108.208076340063,1737.9105237520505,ok,
focus,0,1997.5,203.68831354234118,0.1334834453894871,0.1334834453894871,0.1334834453894871,7435.32349209876,1863.1635807312102,2099.5336572897368,1730.760106833889,ok,
refine,2,2000.0,203.94324259558567,0.13346808527296383,0.13346808527296383,0.13346808527296383,7449.4060510231675,1867.9188777640072,2104.892404121715,1735.1773794817998,ok,
refine,1,2007.5,204.7080297553191,0.13342267307917074,0.13342267307917074,0.13342267307917074,7436.433585179009,1863.7817450130428,2100.2302669576648,1731.3343296753271,ok,
refine,2,2012.5,205.21788786180807,0.1333929509065222,0.1333929509065222,0.1333929509065222,7411.233937971147,1855.5441149848389,2090.947277164979,1723.6822613489471,ok,
refine,2,2025.0,206.4925331280305,0.13332055563906536,0.13332055563906536,0.13332055563906536,7407.854775859826,1855.130469078612,2090.4811393665896,1723.2980189483371,ok,
refine,1,2032.5,207.25732028776392,0.13327841209699728,0.13327841209699728,0.13327841209699728,7388.968514222688,1849.2879996684678,2083.8972573868505,1717.870854221572,ok,
refine,2,2037.5,207.76717839425288,0.13325084875474416,0.13325084875474416,0.13325084875474416,7373.5710286584945,1844.5277189687295,2078.532894457866,1713.4489521644964,ok,
focus,0,2047.5,208.7868946072308,0.13319698558377918,0.13319698558377918,0.13319698558377918,7373.711746570241,1845.2040463898265,2079.295048199301,1714.0772036906658,ok,
