scan_stage,scan_pass,wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
focus,0,1997.5,203.68831354234118,0.13396440520718178,0.13396440520718178,0.13396440520718178,8613.917155066747,2111.6865535353236,2354.0123751214624,2027.6823670466565,ok,
refine,1,2032.5,207.25732028776392,0.13377736834323414,0.13377736834323414,0.13377736834323414,8532.310035762854,2089.4457475914814,2329.2186774863535,2006.3265414499965,ok,
focus,0,2047.5,208.7868946072308,0.13370371709229076,0.13370371709229076,0.13370371709229076,8489.10706327665,2077.3064907829753,2315.686026575007,1994.6703158649118,ok,
refine,1,2057.5,209.80661082020876,0.13365672179437862,0.13365672179437862,0.13365672179437862,8464.30709327892,2070.599744974007,2308.209452743871,1988.2304371042628,ok,
refine,1,2082.5,212.35590135265358,0.13354642485341994,0.13354642485341994,0.13354642485341994,8404.089673168197,2054.1718422761433,2289.8958874307145,1972.4562144515264,ok,
focus,0,2097.5,213.88547567212046,0.13348505946980022,0.13348505946980022,0.13348505946980022,8394.77780574773,2052.4170430096565,2287.9396650468025,1970.7712401216004,ok,
refine,1,2107.5,214.9051918850984,0.13344610658209557,0.13344610658209557,0.13344610658209557,8346.144960041038,2038.035800108898,2271.9076836069758,1956.9622389537788,ok,
refine,1,2132.5,217.4544824175432,0.1333554130786082,0.1333554130786082,0.1333554130786082,8298.796329908717,2025.2372204429005,2257.6400300336813,1944.6729255214266,ok,
focus,0,2147.5,218.9840567370101,0.13330547567956144,0.13330547567956144,0.13330547567956144,8295.030369929855,2025.2170011746841,2257.617489914236,1944.6535107948737,ok,
refine,1,2157.5,220.00377294998802,0.1332740064927538,0.1332740064927538,0.1332740064927538,8250.950345165838,2012.5979754751197,2243.550000254255,1932.5366067258335,ok,
refine,1,2182.5,222.55306348243286,0.1332015641089156,0.1332015641089156,0.1332015641089156,8206.910562890966,2000.7624475296097,2230.35594146098,1921.172024377203,ok,
refine,2,2190.0,223.3178506421663,0.1331815329424686,0.1331815329424686,0.1331815329424686,8202.747905223452,2000.0021806007226,2229.5084079496314,1920.4420091079173,ok,
focus,0,2197.5,224.08263780189975,0.13316227261659036,0.13316227261659036,0.13316227261659036,8203.254917169827,2000.7420778362805,2230.333233650004,1921.1524652110786,ok,
refine,2,2202.5,224.5924959083887,0.13314985669942234,0.13314985669942234,0.13314985669942234,8197.932483247689,1999.4137595943407,2228.852445546506,1919.877001867558,ok,
refine,1,2207.5,225.10235401487768,0.1331377774915383,0.1331377774915383,0.1331377774915383,8165.290706217026,1989.659873245816,2217.9789677821136,1910.5112308485263,ok,
refine,2,2215.0,225.8671411746111,0.13312028494573427,0.13312028494573427,0.13312028494573427,8151.388641811192,1985.7541856169541,2213.624969173804,1906.7609538105626,ok,
refine,2,2227.5,227.14178644083353,0.13309278170766595,0.13309278170766595,0.13309278170766595,8149.359901990312,1986.0469190949673,2213.95130381113,1907.0420391776365,ok,
refine,1,2232.5,227.6516445473225,0.13308235168817983,0.13308235168817983,0.13308235168817983,8125.933997711808,1979.242552899176,2206.365904321427,1900.508424427342,ok,
refine,2,2240.0,228.41643170705595,0.13306731179397174,0.13306731179397174,0.13306731179397174,8126.980513563227,1980.1431886892242,2207.3699188123683,1901.373223162916,ok,
focus,0,2247.5,229.18121886678938,0.13305299148739774,0.13305299148739774,0.13305299148739774,8101.105388423914,1972.7269711038812,2199.102437100084,1894.2521031037159,ok,
refine,2,2252.5,229.69107697327834,0.1330438407742771,0.1330438407742771,0.1330438407742771,8094.975102793194,1971.1216986824297,2197.3129048709043,1892.7107058200831,ok,
refine,1,2257.5,230.2009350797673,0.13303500448567107,0.13303500448567107,0.13303500448567107,8088.721294708937,1969.4752243589287,2195.4774414149515,1891.1297460926858,ok,
refine,2,2265.0,230.96572223950076,0.13302233495817564,0.13302233495817564,0.13302233495817564,8092.533608958016,1971.2621204911723,2197.46944487562,1892.845540127124,ok,
refine,3,2268.75,231.34811581936748,0.1330162614804437,0.1330162614804437,0.1330162614804437,8090.036100934305,1969.478823618639,2195.481453812577,1891.1332021348296,ok,
refine,3,2275.0,231.9854384524787,0.13300652307192312,0.13300652307192312,0.13300652307192312,8085.792881009522,1969.8256124803106,2195.8680485340647,1891.466191976449,ok,
refine,2,2277.5,232.24036750572319,0.1330027613750168,0.1330027613750168,0.1330027613750168,8059.449526465864,1961.866832755851,2186.9957271563703,1883.824098781312,ok,
refine,3,2281.25,232.6227610855899,0.13299726124307218,0.13299726124307218,0.13299726124307218,8049.7787581556495,1959.0172338994466,2183.8190395576644,1881.087887856606,ok,
refine,1,2282.5,232.75022561221215,0.13299546571530693,0.13299546571530693,0.13299546571530693,8053.531153434225,1960.3215132334003,2185.2730294678954,1882.3402688204783,ok,
refine,3,2287.5,233.2600837187011,0.13298847200742986,0.13298847200742986,0.13298847200742986,8050.661628986499,1959.7602061518153,2184.6472932379943,1881.801296619076,ok,
refine,2,2290.0,233.51501277194558,0.13298508775435763,0.13298508775435763,0.13298508775435763,8057.222424407837,1962.064035126161,2187.2155652303477,1884.0134543036893,ok,
refine,3,2293.75,233.8974063518123,0.1329801514207645,0.1329801514207645,0.1329801514207645,8049.533395582891,1959.8524918050323,2184.7501718201697,1881.889910148647,ok,
focus,0,2297.5,234.27979993167904,0.1329753823950877,0.1329753823950877,0.1329753823950877,8030.705237969594,1954.4036618617051,2178.6759026403074,1876.6578937248998,ok,
refine,3,2300.0,234.5347289849235,0.13297229558050308,0.13297229558050308,0.13297229558050308,8046.915800048253,1959.4621802408988,2184.315058680428,1881.5151294094487,ok,
refine,2,2302.5,234.789658038168,0.1329692825070529,0.1329692825070529,0.1329692825070529,8025.815407924661,1953.185334476777,2177.3177305992963,1875.488044609816,ok,
refine,3,2306.25,235.17205161803471,0.13296490062517005,0.13296490062517005,0.13296490062517005,8043.202367677221,1958.7162615853276,2183.4835203965495,1880.7988914836333,ok,
refine,1,2307.5,235.29951614465696,0.13296347660334554,0.13296347660334554,0.13296347660334554,8044.927970336869,1957.3830472088068,2181.9972741598935,1879.5187268268387,ok,
refine,4,2308.125,235.3632484079681,0.1329627714388508,0.1329627714388508,0.1329627714388508,8035.145139085626,1956.2457720922796,2180.729457901871,1878.4267048423253,ok,
refine,4,2311.25,235.68190972452368,0.13295931392903848,0.13295931392903848,0.13295931392903848,8032.97334977141,1955.7697798355161,2180.198829285235,1877.9696527172146,ok,
focus,0,2312.5,235.80937425114593,0.13295796273383506,0.13295796273383506,0.13295796273383506,8029.293432471541,1954.6695402864912,2178.972299690328,1876.9131926238688,ok,
refine,4,2314.375,236.00057104107927,0.13295596992762806,0.13295596992762806,0.13295596992762806,8030.488542627086,1955.1921470597947,2179.554893430504,1877.4150044347575,ok,
refine,2,2315.0,236.0643033043904,0.13295531470696073,0.13295531470696073,0.13295531470696073,8023.805362419138,1953.4407933886298,2177.6025121415955,1875.7333385970219,ok,
refine,4,2317.5,236.3192323576349,0.1329527389647313,0.1329527389647313,0.1329527389647313,8004.595903023097,1947.40305304996,2170.8717349955573,1869.9358450171517,ok,
refine,3,2318.75,236.44669688425714,0.13295147812556957,0.13295147812556957,0.13295147812556957,8028.849035494031,1954.9781314339175,2179.3163122059477,1877.2095046703723,ok,
refine,4,2320.625,236.63789367419048,0.13294962057291662,0.13294962057291662,0.13294962057291662,8006.344095226715,1948.1940971378895,2171.7535783955527,1870.6954127964736,ok,
refine,4,2323.75,236.9565549907461,0.1329466142871928,0.1329466142871928,0.1329466142871928,8006.827053652259,1948.575411057241,2172.1786611036323,1871.0615539147323,ok,
refine,3,2325.0,237.08401951736832,0.13294544305891257,0.13294544305891257,0.13294544305891257,7997.854696926557,1945.7596224085507,2169.0396645881156,1868.35780786118,ok,
refine,4,2326.875,237.2752163073017,0.1329437196449927,0.1329437196449927,0.1329437196449927,8006.36494806844,1948.650503212217,2172.2623726467277,1871.1336580897967,ok,
refine,2,2327.5,237.3389485706128,0.13294315407323928,0.13294315407323928,0.13294315407323928,8018.955484116496,1952.773119656961,2176.8582000575957,1875.0922321638739,ok,
refine,5,2327.8125,237.37081470226838,0.13294287295396315,0.13294287295396315,0.13294287295396315,7994.203471033467,1944.7788967957054,2167.9463672332763,1867.416106144121,ok,
refine,5,2329.375,237.5301453605462,0.132941484005262,0.132941484005262,0.132941484005262,7996.2270362372965,1945.546403241525,2168.801971243252,1868.1530728638795,ok,
refine,4,2330.0,237.59387762385728,0.13294093618615688,0.13294093618615688,0.13294093618615688,8005.198490747145,1948.4972848085556,2172.0915672010024,1870.9865363750957,ok,
refine,5,2330.9375,237.68947601882397,0.13294012276076367,0.13294012276076367,0.13294012276076367,7997.339546607036,1946.018819433389,2169.3286133194697,1868.6066912187166,ok,
refine,3,2331.25,237.72134215047953,0.13293985383134466,0.13293985383134466,0.13293985383134466,7998.480675989502,1946.4108916963742,2169.7656892583595,1868.9831625970805,ok,
refine,1,2332.5,237.84880667710178,0.13293878916341095,0.13293878916341095,0.13293878916341095,7990.827863638969,1944.387126155274,2167.5096275384244,1867.0399243864956,ok,
refine,4,2333.125,237.9125389404129,0.132938263452918,0.132938263452918,0.132938263452918,8003.508993174492,1948.1743275987399,2171.7315396269355,1870.67642990389,ok,
refine,5,2334.0625,238.0081373353796,0.13293748315629486,0.13293748315629486,0.13293748315629486,7997.364442002443,1946.2508584324835,2169.587286714562,1868.8294971911616,ok,
refine,5,2335.625,238.16746799365737,0.13293620468265416,0.13293620468265416,0.13293620468265416,7996.98001136538,1946.238203207025,2169.573178869986,1868.8173455277529,ok,
refine,4,2336.25,238.2312002569685,0.13293570098988455,0.13293570098988455,0.13293570098988455,8001.432779723139,1947.7257460222431,2171.2314680018153,1870.2456977650584,ok,
refine,5,2337.1875,238.32679865193518,0.1329349536858749,0.1329349536858749,0.1329349536858749,7996.289537753105,1946.1263651783217,2169.4485036098004,1868.709957628137,ok,
refine,3,2337.5,238.35866478359074,0.13293470677877073,0.13293470677877073,0.13293470677877073,7997.33607414682,1946.4878472586638,2169.851478098366,1869.0570560329165,ok,
refine,5,2338.75,238.486129310213,0.13293373010948978,0.13293373010948978,0.13293373010948978,7995.370837600509,1945.9404737563623,2169.2412748016063,1868.5314629819763,ok,
refine,4,2339.375,238.5498615735241,0.13293324834402523,0.13293324834402523,0.13293324834402523,7999.072361509201,1947.184705684536,2170.628324816474,1869.726185876775,ok,
refine,2,2340.0,238.61359383683524,0.13293277095321276,0.13293277095321276,0.13293277095321276,7981.194824319727,1941.8016448606072,2164.6273740075467,1864.5573215639295,ok,
refine,5,2340.3125,238.64545996849077,0.13293253389717763,0.13293253389717763,0.13293253389717763,7994.282385488081,1945.6994616691904,2168.972598350275,1868.3000409681642,ok,
refine,5,2341.875,238.80479062676858,0.13293136499276326,0.13293136499276326,0.13293136499276326,7993.0679632470765,1945.4175553406724,2168.658333647442,1868.0293519292134,ok,
refine,4,2342.5,238.8685228900797,0.13293090506465324,0.13293090506465324,0.13293090506465324,7996.504786552732,1946.5761430928017,2169.9499088935268,1869.1418385016593,ok,
refine,5,2343.4375,238.9641212850464,0.13293022334021654,0.13293022334021654,0.13293022334021654,7991.760543743708,1945.105406171279,2168.310354705378,1867.729623437425,ok,
refine,3,2343.75,238.99598741670195,0.13292999827501087,0.13292999827501087,0.13292999827501087,7994.884956883336,1946.1404629486556,2169.46421958052,1868.7234944363497,ok,
refine,5,2345.0,239.1234519433242,0.13292910888365228,0.13292910888365228,0.13292910888365228,7990.384893725623,1944.7710355607928,2167.9376036533076,1867.4085577143474,ok,
refine,4,2345.625,239.1871842066353,0.13292867070341088,0.13292867070341088,0.13292867070341088,7993.787977509871,1945.9187980359136,2169.217111052317,1868.5106497566485,ok,
refine,5,2346.5625,239.28278260160198,0.1329280215673296,0.1329280215673296,0.1329280215673296,7987.830146638945,1944.4204682507298,2167.546796777496,1867.071939771972,ok,
focus,0,2347.5,239.37838099656867,0.13292738218171757,0.13292738218171757,0.13292738218171757,7971.694475780111,1939.2560181876097,2161.7895497766476,1862.112987514165,ok,
refine,5,2348.125,239.4421132598798,0.13292696133565138,0.13292696133565138,0.13292696133565138,7985.521661080202,1943.7834573795683,2166.8366671639496,1866.4602760983594,ok,
refine,4,2348.75,239.5058455231909,0.1329265448142541,0.1329265448142541,0.1329265448142541,7990.9654373387275,1945.2267560942169,2168.445633674358,1867.8461447450152,ok,
refine,5,2349.6875,239.6014439181576,0.13292592813316395,0.13292592813316395,0.13292592813316395,7983.39972176536,1943.2067602820289,2166.193774388412,1865.9065262626639,ok,
refine,3,2350.0,239.63331004981316,0.13292572473129946,0.13292572473129946,0.13292572473129946,7991.476662771135,1945.4816238358796,2168.7297561895084,1868.0908710851893,ok,
