scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1462.5,650.0,149.133496148022,0.10196095715984652,0.18599230036997222,0.1704830787280772,22147.63685971343,5659.457412690425,5365.495800065303,3102.155635252511,ok,
global,1,1612.5,500.0,164.42923934269095,0.11653570306970394,0.18027041140763791,0.15697289181440124,14487.318926904662,3588.0384536897623,3231.5075782241283,2319.2103899594463,ok,
global,1,1712.5,400.0,174.62640147247023,0.126603477097509,0.17718944712129295,0.149400827978586,12299.844505320494,2994.0389819396332,2611.081230758872,2139.0134237477923,ok,
global,1,1862.5,250.0,189.92214466713915,0.14221330294994747,0.17343484985103863,0.13973262931019542,10365.60475492175,2469.143012001473,2057.567525264298,2024.4168160289905,ok,
global,1,1962.5,150.0,200.11930679691844,0.15294871327860363,0.1714081630559211,0.13421283964170522,9546.583142674937,2248.631141382414,1821.0766618425275,2006.237675346763,ok,
local,2,1987.011593447,125.488406553,202.6187937213014,0.15561939485707804,0.1709616584565694,0.1329572448710698,9376.564818654,2202.567323463127,1771.7059207838308,2004.6754167946588,ok,
global,1,2012.5,100.0,205.21788786180807,0.15841270900359258,0.17051681974388766,0.13168925094496917,9212.022924966846,2158.173438675273,1723.9252038882291,2004.744366007259,ok,
refine,3,2022.011593447,90.488406553,206.18780046672413,0.1594593126255172,0.17035575489132015,0.13122561181994544,9166.374075221705,2146.589737928078,1710.2599056640663,2009.055574471158,ok,
local,2,2037.011593447,75.488406553,207.71737478619102,0.16111446607325183,0.17010707398642924,0.13050472262520632,9061.81868328289,2118.1916847765337,1680.7891124181197,2005.9830733266538,ok,
refine,3,2047.011593447,65.488406553,208.73709099916894,0.16222104550046018,0.1699442783230255,0.130031058732011,9007.122901724175,2102.540040975889,1663.9492398926072,2006.7567666007642,ok,
local,2,2062.011593447,50.488406553000004,210.26666531863583,0.16388561617553205,0.16970476548426458,0.12933072391996975,8922.132774657728,2079.8959471698654,1639.4778401658875,2008.3445322259342,ok,
global,1,2062.5,50.0,210.31646892669772,0.16393990998423658,0.16969707017248736,0.12930812213634432,8926.646233633026,2082.2755144745893,1641.1200683013549,2011.3996260854035,ok,
refine,4,2079.511593447,32.988406553000004,212.05116869134721,0.16583472335885735,0.16943303969231255,0.12852868689048821,8826.550640992937,2054.9686038692953,1612.340128746072,2011.0940794789362,ok,
local,2,2087.011593447,25.488406553000004,212.81595585108064,0.16667239137260792,0.16931907781749972,0.12818981357643883,8786.328453036811,2043.8419305725713,1600.4585199940934,2011.6615032361472,ok,
refine,4,2092.011593447,20.488406553000004,213.3258139575696,0.16723161377756166,0.16924392208185457,0.12796549376873256,8760.279145842525,2036.8831574160001,1592.9193670200723,2012.4319958420945,ok,
refine,3,2097.011593447,15.488406553000004,213.83567206405857,0.16779145703189813,0.16916941599437058,0.12774243989747844,8734.62667358309,2029.9891434574274,1585.458731906983,2013.2212550795439,ok,
local,2,2112.011593447,0.48840655300000435,215.3652463835255,0.16947470506559908,0.1689497497883975,0.12708078400841816,8661.941722323385,2010.679272930982,1564.2804317960974,2016.6937997364143,ok,
seed,0,2112.5,0.0,215.41504999158735,0.16952960597438926,0.16894269355634825,0.12705942762870234,8646.474602540082,2005.9500191014054,1560.394389977493,2012.686247594419,ok,
refine,5,2113.261593447,0.7615934469999956,215.4927109101477,0.16961522710184246,0.1689317024822517,0.12702614910844953,8654.777130797527,2009.0013053279854,1562.470257401375,2016.8970287618824,ok,
refine,4,2117.011593447,4.511593446999996,215.87510449001445,0.17003702490300374,0.16887779667548256,0.12686270441358857,8634.623506369026,2003.1353339248567,1556.393636867284,2016.6522908033198,ok,
refine,5,2119.511593447,7.011593446999996,216.13003354325892,0.17031841640876444,0.1688420555389893,0.12675412326500446,8624.505221264008,2000.848778041326,1553.614980539276,2018.1109114969559,ok,
refine,3,2122.011593447,9.511593446999996,216.3849625965034,0.17059996219365983,0.16880647061433343,0.12664584644164417,8613.886890681777,1997.9257737749824,1550.3471537958858,2018.9193908048926,ok,
refine,6,2127.636593447,15.136593446999996,216.9585529663035,0.1712340038578468,0.16872697284959334,0.12640333072264429,8597.078155590347,1994.0573766264206,1545.1260094099357,2023.4522847068683,ok,
refine,4,2129.511593447,17.011593446999996,217.14974975623684,0.17144552438375674,0.16870064764518208,0.12632283120672452,8577.745391175704,1988.4235154504017,1540.009860790169,2020.5431105948096,ok,
refine,6,2130.761593447,18.261593446999996,217.2772142828591,0.17158658617734474,0.16868314565900228,0.12626925865860972,8571.813094456018,1986.7542679230562,1538.217240267097,2020.7173779181126,ok,
refine,5,2132.011593447,19.511593446999996,217.40467880948134,0.1717276864464734,0.16866568211435723,0.12621576099320955,8565.29053547723,1984.8385660809308,1536.2420979560968,2020.638217500002,ok,
refine,7,2136.074093447,23.574093446999996,217.81893852100362,0.17218652791685585,0.16860919027065957,0.1260424091508731,8543.551212124246,1978.5437474863886,1529.7988020624741,2020.2877826669073,ok,
local,2,2137.011593447,24.511593446999996,217.9145369159703,0.1722924720699392,0.1685962110105602,0.12600251653117758,8533.038842887687,1976.1468861109595,1527.5532111503164,2019.2381981033568,ok,
refine,7,2137.636593447,25.136593446999996,217.97826917928143,0.17236311351293593,0.16858757008077288,0.12597594465093603,8540.414419330325,1978.28490385561,1528.9682552240395,2022.3550056222523,ok,
