wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw
2000.0,203.94324259558567,0.12575307476439954,0.12575307476439954,0.12575307476439954,4240.148272138073,915.6043453863856,985.5515829709232,893.5936966467968
2050.0,209.0418236604753,0.12596078484840958,0.12596078484840958,0.12596078484840958,4234.665160463761,915.9729062188502,985.9483168686861,893.9533921192326
2100.0,214.14040472536493,0.12619481598781263,0.12619481598781263,0.12619481598781263,4230.176917573259,916.6643903311216,986.6926585429443,894.6282432768614
2150.0,219.2389857902546,0.12869874861384828,0.12869874861384828,0.12869874861384828,4317.682630124171,953.8589246468465,1026.730370841024,930.9281004897473
2200.0,224.33756685514422,0.13269809888952652,0.13269809888952652,0.13269809888952652,4475.931977807681,1019.5798846929677,1097.4750901576933,995.0682089615278
2250.0,229.43614792003387,0.1367373929839905,0.1367373929839905,0.1367373929839905,4649.924454390718,1091.4733147596558,1174.8641077132982,1065.2323148974376
2300.0,234.5347289849235,0.1408162475300786,0.1408162475300786,0.1408162475300786,4836.12900514424,1169.2543990631277,1258.5908361928234,1141.1424534708294
2350.0,239.63331004981316,0.14493428971181266,0.14493428971181266,0.14493428971181266,5047.62800942851,1255.610706756578,1351.5482845427832,1225.4215470627873
2400.0,244.7318911147028,0.14909115680581073,0.14909115680581073,0.14909115680581073,5282.852465901655,1351.711568708238,1454.995168156308,1319.21079946393
2450.0,249.83047217959245,0.1532864957487278,0.1532864957487278,0.1532864957487278,5536.951519946924,1456.5826467546299,1567.8826697330041,1421.5593092350546
2500.0,254.92905324448208,0.15751996272900806,0.15751996272900806,0.15751996272900806,5828.239189112425,1575.5313024311642,1695.9238494879287,1537.6467746693897
