scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1462.5,700.0,149.133496148022,0.10196095715984652,0.1955108922856365,0.07856558637378938,10352.42244161907,2770.6339766320684,1179.5353003700689,1444.6382241555941,ok,
global,1,1612.5,550.0,164.42923934269095,0.11653570306970394,0.18942326689608377,0.07470979610510475,9025.632651054588,2339.6032625944367,977.6294085984096,1439.0795374736558,ok,
global,1,1762.5,400.0,179.72498253735986,0.13173987941953247,0.18467114083216785,0.07181910282417495,8219.186483567322,2077.019105491122,855.829380126141,1481.4112903551425,ok,
global,1,1862.5,300.0,189.92214466713915,0.14221330294994747,0.18208487732909062,0.07031304074254423,7844.727026164463,1954.608931469506,799.7178440647244,1526.3113552039943,ok,
global,1,1962.5,200.0,200.11930679691844,0.15294871327860363,0.179880352529083,0.06908379039539805,7547.561718576261,1858.3547565037643,756.1490949372826,1579.8205355185141,ok,
local,2,2023.60725871,138.89274129,206.3505130406408,0.159635114572268,0.1786965758447509,0.06845131800246962,7409.520650592331,1812.640743849015,735.6551854347346,1618.9777583224577,ok,
refine,3,2047.5,115.0,208.7868946072308,0.16227515585898808,0.17826432318078658,0.06822629708167034,7361.002956733541,1796.9295459375674,728.642996072054,1635.4437004831564,ok,
global,1,2062.5,100.0,210.31646892669772,0.16393990998423658,0.1780013076888847,0.06809111605725494,7308.906919137163,1779.704115052228,721.2663616638093,1638.8012395988608,ok,
refine,3,2072.5,90.0,211.33618513967565,0.16505287189198597,0.1778294580804461,0.06800354293580688,7294.897848551218,1776.1007402683695,719.5415684585873,1648.1775564608756,ok,
local,2,2073.60725871,88.89274128999978,211.44909410553046,0.16517625904312402,0.17781059955492784,0.06799397007510319,7293.39186272349,1775.5688845784289,719.3028958937473,1649.0906277014199,ok,
local,2,2098.60725871,63.892741289999776,213.99838463797528,0.1679702520895864,0.1773936520901264,0.06778428576122232,7244.551140001867,1759.677478859001,712.3320639073193,1665.8826275950298,ok,
refine,4,2105.0,57.5,214.6502628318539,0.16868719478099312,0.17728971137696323,0.06773262144984561,7234.781348672866,1755.447796132032,710.545941978263,1669.9499812670733,ok,
global,1,2112.5,50.0,215.41504999158735,0.16952960597438926,0.1771691310587156,0.06767300443798543,7227.362003486576,1753.3273633811853,709.5576707604502,1677.4031518157874,ok,
refine,4,2117.5,45.0,215.92490809807632,0.17009198615513957,0.177089554560671,0.06763385178255966,7209.430694939937,1748.0566592013743,707.2653946267276,1678.6627051880319,ok,
refine,3,2122.5,40.0,216.43476620456528,0.17065498372334378,0.1770106208716278,0.06759516884143592,7200.274536928109,1744.739825775205,705.8841085768502,1681.772927331414,ok,
local,2,2123.60725871,38.892741289999776,216.54767517042012,0.17077974394755674,0.17699322733851344,0.06758666563193098,7196.603923085001,1744.0408503016897,705.5311732284596,1682.4934946373448,ok,
refine,5,2138.75,23.75,218.09180505065441,0.1724889815403753,0.1767584697269208,0.06747265347280762,7163.939831549609,1732.2079852813204,700.5516475968544,1690.0513582701815,ok,
refine,4,2142.5,20.0,218.47419863052113,0.17291313445539985,0.17670122160307394,0.06744506851590172,7165.58963939533,1733.2166739957095,700.8900271771603,1695.7363289023301,ok,
refine,5,2145.0,17.5,218.72912768376563,0.17319609497237348,0.17666325002828126,0.06742682033902439,7159.98234977442,1731.7858906550266,700.2253515285495,1697.473894381178,ok,
refine,3,2147.5,15.0,218.9840567370101,0.1734792089183296,0.17662543287502863,0.06740868513595477,7156.540888020341,1730.5458764181049,699.7325461383133,1699.3950474548144,ok,
local,2,2148.60725871,13.892741289999776,219.09696570286494,0.1736046500755542,0.17660873272433403,0.06740068898774723,7154.657109635497,1729.8875430028522,699.4495376823465,1700.1376584884395,ok,
refine,4,2155.0,7.5,219.74884389674355,0.1743294705043902,0.1765129024025417,0.06735495344194646,7133.302947843408,1722.2232425342684,696.2643574449944,1700.5961373132236,ok,
refine,6,2155.625,6.875,219.81257616005468,0.17440038786375814,0.17650358690461904,0.06735052120578626,7139.124501805478,1723.9760584561218,696.9638375473941,1703.1091872664085,ok,
refine,5,2157.5,5.0,220.00377294998802,0.17461319734123518,0.17647569740597885,0.06733726621556424,7138.796625086305,1724.9524235301612,697.2736670647643,1706.4214797484806,ok,
refine,6,2158.75,3.75,220.13123747661027,0.1747551181462052,0.17645715181766433,0.06732846426030534,7136.230382242664,1723.984838156651,696.8682164804508,1707.0298155935907,ok,
refine,7,2160.9375,1.5625,220.3543003981992,0.17500357157343102,0.17642478807224285,0.06731312748145073,7133.950755402045,1723.308337318926,696.5598084319755,1709.0994229430962,ok,
local,2,2161.10725871,1.3927412899997762,220.37161096908733,0.175022857444322,0.17642228135292864,0.067311940826949,7130.632897600043,1721.6159697442642,695.9322925714737,1707.6358730906736,ok,
seed,0,2162.5,0.0,220.51363105647698,0.1751811099843143,0.17640174187757027,0.06730222444896533,7129.752501077121,1721.4335072751046,695.8269128230231,1709.1950595751068,ok,
