wing_loading_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw
2000.0,203.94324259558567,0.12575307476439954,0.12575307476439954,0.12575307476439954,4963.873272274121,1081.983516171636,1191.0508656917232,1039.28793541455
2050.0,209.0418236604753,0.12596078484840958,0.12596078484840958,0.12596078484840958,4956.259900970284,1082.1055216756413,1191.1851757957697,1039.4051241512361
2100.0,214.14040472536493,0.12619481598781263,0.12619481598781263,0.12619481598781263,4949.684073582221,1082.6496881371147,1191.7842229834791,1039.927806965318
2150.0,219.2389857902546,0.12869874861384828,0.12869874861384828,0.12869874861384828,4998.9293630745515,1114.808319207929,1227.1861429242747,1070.8168179117213
2200.0,224.33756685514422,0.13269809888952652,0.13269809888952652,0.13269809888952652,5089.6963991676785,1170.2937616106115,1288.2674490748375,1124.1116995865184
2250.0,229.43614792003387,0.1367373929839905,0.1367373929839905,0.1367373929839905,5185.0262850479285,1228.459054179163,1352.2988758576037,1179.980631161822
2300.0,234.5347289849235,0.1408162475300786,0.1408162475300786,0.1408162475300786,5286.607891078916,1290.2018931000148,1420.2688425042606,1239.2858678520454
2350.0,239.63331004981316,0.14493428971181266,0.14493428971181266,0.14493428971181266,5390.626646260627,1353.6084707045823,1490.070161973808,1300.1891589588292
2400.0,244.7318911147028,0.14909115680581073,0.14909115680581073,0.14909115680581073,5503.775227612663,1421.7061581843157,1565.0357036965306,1365.5983553065946
2450.0,249.83047217959245,0.1532864957487278,0.1532864957487278,0.1532864957487278,5577.223408888222,1481.556738230352,1630.922392681463,1423.0860393476123
2500.0,254.92905324448208,0.15751996272900806,0.15751996272900806,0.15751996272900806,5746.304469565546,1568.2085206673094,1726.3132650008681,1506.3168165012355
