scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1462.5,700.0,149.133496148022,0.10196095715984652,0.19567280367504972,0.16394636195518164,30867.00573450183,8232.750930882004,7337.627950199894,4289.250099039886,ok,
global,1,1612.5,550.0,164.42923934269095,0.11653570306970394,0.18964326955145588,0.1512512336990654,15612.95798667671,4037.15101664187,3425.101449195958,2480.444575165864,ok,
global,1,1762.5,400.0,179.72498253735986,0.13173987941953247,0.18496287268234013,0.14094509444099637,11728.288019551705,2957.2746351467013,2397.1532268243027,2105.994924767249,ok,
global,1,1862.5,300.0,189.92214466713915,0.14221330294994747,0.18243293646872932,0.13511651134416117,10348.668625988828,2573.4362537692177,2027.5015356049291,2005.7799773317631,ok,
global,1,1962.5,200.0,200.11930679691844,0.15294871327860363,0.18028827842769743,0.1299735337768285,9388.086545039818,2306.90926471332,1769.1090992406994,1956.7791303672714,ok,
global,1,2062.5,100.0,210.31646892669772,0.16393990998423658,0.1784717627859279,0.12541653048812554,8715.672318939443,2121.5318377891294,1585.920118978047,1948.487751986741,ok,
global,1,2112.5,50.0,215.41504999158735,0.16952960597438926,0.17767304284454824,0.12333161614291394,8428.495186584427,2042.477041561781,1508.190967568462,1948.5616190173253,ok,
seed,0,2162.5,0.0,220.51363105647698,0.1751811099843143,0.17694062983455516,0.1213638264403645,8155.778631463824,1966.3614176196015,1434.7069580764164,1946.5071667799652,ok,
local,2,2186.506369341,24.00636934100021,222.9615994596524,0.17791631761762966,0.1766112089648445,0.12045829424537478,8073.027239723828,1944.8432560205015,1411.0743864551562,1958.9126463611626,ok,
global,1,2212.5,50.0,225.61221212136664,0.18089375704832128,0.1762700493533353,0.11950522253127388,7948.223674129055,1910.4123354251312,1377.7413840932008,1960.221467325873,ok,
refine,3,2221.506369341,59.00636934100021,226.53060620507517,0.18192920985658428,0.17615551030193294,0.11918147275350284,7919.856780994525,1902.7342591931729,1369.4328698124245,1964.7951568288056,ok,
local,2,2236.506369341,74.00636934100021,228.06018052454206,0.1836580910326734,0.1759688428061863,0.1186495017184455,7861.757589464206,1886.793055303732,1353.3342694865444,1968.9355319402416,ok,
refine,3,2246.506369341,84.00636934100021,229.07989673752,0.18481368929090877,0.17584719854753209,0.11829979812810457,7809.369372701339,1871.6745095259648,1339.4429796700335,1966.8079636531154,ok,
local,2,2261.506369341,99.00636934100021,230.60947105698688,0.18655159043734343,0.1756688592043769,0.11778252726443804,7762.738030489141,1859.4291116363129,1326.2251633342996,1974.3163356493142,ok,
global,1,2262.5,100.0,230.71079318625627,0.18666690308112163,0.17565721853468613,0.11774856734316384,7751.958819258067,1856.741756006834,1323.983513605758,1972.812577376757,ok,
local,2,2286.506369341,124.00636934100021,233.1587615894317,0.18946006127773793,0.1753823924729204,0.11693940988308427,7674.679071590502,1835.9501849449434,1302.2185339430969,1983.0128162077826,ok,
refine,4,2289.006369341,126.50636934100021,233.4136906426762,0.1897517288434448,0.17535447222403105,0.11685638019749157,7664.772090286609,1832.7830494922403,1299.2681905538427,1982.9551486202445,ok,
refine,3,2296.506369341,134.0063693410002,234.17847780240962,0.190627624487516,0.17527149189277663,0.11660866843410883,7636.860316607986,1825.4420889374514,1291.93054259111,1985.068739486274,ok,
refine,4,2301.506369341,139.0063693410002,234.68833590889858,0.19121229828538877,0.17521681778924272,0.11644466752479404,7620.023926699148,1820.5755817854215,1287.0759231472507,1986.468506683117,ok,
local,2,2311.506369341,149.0063693410002,235.7080521218765,0.1923834272614573,0.17510900520213749,0.11611937571478952,7566.313893470392,1805.1105056243377,1273.336802765965,1982.8776723790988,ok,
global,1,2312.5,150.0,235.80937425114593,0.1924999238149432,0.1750984036711583,0.11608724971252722,7561.514800220302,1803.9741172846152,1272.2371862540836,1982.9494619476548,ok,
refine,5,2317.756369341,155.2563693410002,236.34537475498772,0.1931165872927404,0.1750426525643061,0.11591788641714743,7549.229353736976,1800.442679004987,1268.3206650973439,1986.0393505975699,ok,
refine,3,2321.506369341,159.0063693410002,236.72776833485443,0.19355692742482913,0.1750032181029201,0.1157976583494436,7552.086808068512,1802.1185683990866,1268.4936674857079,1992.870068936247,ok,
refine,5,2324.006369341,161.5063693410002,236.98269738809893,0.1938506724054025,0.17497708475218957,0.1157177821094785,7544.8187881431095,1800.4753489636928,1266.654821601374,1994.3723828107961,ok,
refine,4,2326.506369341,164.0063693410002,237.23762644134342,0.1941445652135488,0.17495107596415158,0.11563812568405676,7538.155327879944,1798.66241919114,1264.6963942642128,1995.6814347036445,ok,
refine,6,2332.131369341,169.6313693410002,237.81121681114348,0.1948063641434995,0.1748930095517844,0.11545969876331308,7510.7248790127605,1790.8067441036997,1257.6187994940012,1994.3959375099703,ok,
refine,6,2335.256369341,172.7563693410002,238.1298781276991,0.19517435311730905,0.1748610203705299,0.1153610490453268,7510.844742584005,1791.2419021821731,1257.1088366568954,1999.0189755290357,ok,
local,2,2336.506369341,174.0063693410002,238.25734265432135,0.19532161324419753,0.17484827845464454,0.11532168402033091,7485.925178211309,1783.7061089819902,1251.425434816163,1992.2563358341665,ok,
refine,4,2339.006369341,176.5063693410002,238.51227170756582,0.19561624408292164,0.17482288650657457,0.11524311611340886,7497.043132822668,1787.5392319766506,1253.5002755226578,1999.8395292880598,ok,
