scan_stage,scan_pass,wing_loading_pa,seed_distance_pa,wing_loading_kg_per_m2,p_w_takeoff_kw_per_kg,p_w_climb_kw_per_kg,p_w_cruise_kw_per_kg,mtom_kg,p_total_climb_kw,p_total_cruise_kw,p_total_takeoff_kw,status,error
global,1,1612.5,450.0,164.42923934269095,0.11653570306970394,0.18000925135599624,0.10632030722753238,12206.926490308622,3019.1786339999467,1844.3576195459118,1954.3517222260348,ok,
global,1,1712.5,350.0,174.62640147247023,0.126603477097509,0.1768821654942946,0.10196778638706204,10534.562792754406,2559.613432133381,1526.1371287148093,1831.832094875428,ok,
global,1,1812.5,250.0,184.8235636022495,0.1369434376403505,0.17422507835678464,0.0982011952396249,9450.397990826717,2262.738801003566,1319.0716005805987,1778.3396532192044,ok,
global,1,1912.5,150.0,195.02072573202878,0.14754865764183397,0.17196439503734504,0.09492864194807084,8674.451541121789,2048.7895970563077,1169.734160835875,1757.6961803315212,ok,
local,2,1936.934930626,125.5650693739999,197.5123952242611,0.15017962165123697,0.17146529293437324,0.09419540268044585,8536.573222967918,2011.7331663039288,1143.005021845066,1761.7930697290192,ok,
global,1,1962.5,100.0,200.11930679691844,0.15294871327860363,0.1709638024740198,0.0934540346594912,8401.026723717936,1973.8807476181744,1115.9669822045933,1765.6811356216253,ok,
refine,3,1971.934930626,90.5650693739999,201.08140196968387,0.15397488998631548,0.17078391025556086,0.09318688904845968,8352.572904282455,1960.8190881231985,1106.5804167575013,1767.6251797319535,ok,
local,2,1986.934930626,75.5650693739999,202.61097628915076,0.1556110181304534,0.17050352207171843,0.0927691612921006,8260.596135614822,1935.787614175769,1089.3244207503208,1766.5031803510276,ok,
refine,3,1996.934930626,65.5650693739999,203.63069250212868,0.15670495024429984,0.17032035796297704,0.09249536181036197,8208.231559428266,1920.4797004988422,1078.7005697863283,1766.7519486383278,ok,
local,2,2011.934930626,50.565069373999904,205.16026682159557,0.15835060379311752,0.17005114183771947,0.09209155142915122,8134.602073331677,1901.0306869741385,1064.7823017261783,1770.0234485766973,ok,
